,Unnamed: 0,url,Index,2022-12-12 Selenium,2023-02-21 Selenium,2023-02-16 Selenium,2022-12-07 Selenium,2023-01-04 Selenium,2022-12-06 Selenium
177,177,https://www.nature.com/,426,yes,,,yes,yes,yes
184,184,https://inhabitat.com/page/3/,433,yes,,,yes,yes,yes
185,185,https://www.nature.org/en-us/,434,yes,,,yes,yes,yes
188,188,http://nwf.org/,437,yes,,,yes,yes,yes
190,190,https://icwb.com/one-life,439,yes,,,yes,yes,yes
192,192,https://grist.org/,441,yes,,,yes,yes,yes
195,195,https://www.howstuffworks.com/,444,yes,,,yes,yes,yes
197,197,https://www.space.com/,446,yes,Do not sell or share my personal information,Do not sell my info,yes,yes,yes
198,198,https://www.popularmechanics.com/,447,yes,,,yes,yes,yes
200,200,https://www.allposters.com/,100,yes,,,yes,yes,yes
201,201,https://fineartamerica.com/,101,yes,,,yes,yes,yes
202,202,https://www.artsy.net/,102,yes,,,yes,yes,yes
203,203,https://www.art.com/,103,yes,,,yes,yes,yes
207,207,https://www.potterybarn.com/,107,no,Do Not Sell My Info,Do Not Sell My Info,no,no,yes
212,212,https://www.ashleyfurniture.com/,112,yes,,,yes,yes,yes
213,213,https://www.sleepnumber.com/,113,yes,,,yes,yes,yes
214,214,https://www.anthropologie.com/,114,no,Do Not Sell My Personal Info,,no,no,no
220,220,https://www.hgtv.com/,120,yes,,,yes,yes,yes
224,224,https://www.countryliving.com/,124,yes,,,yes,yes,yes
231,231,https://www.joann.com/,131,yes,,,yes,yes,yes
233,233,https://makezine.com/,133,yes,,,yes,yes,yes
240,240,https://www.foxnews.com/,140,yes,,,yes,yes,yes
249,249,https://nypost.com/,149,yes,,,yes,yes,yes
260,260,https://www.tada.com/,309,yes,,,yes,yes,yes
266,266,https://www.tada.com/,315,yes,,,yes,yes,yes
269,269,https://shoplocal.com/?postalcode=60670,318,yes,,,yes,yes,yes
272,272,https://www.shop.com/,321,no,Do Not Sell My Information,Do Not Sell My Information,no,no,no
278,278,https://octopart.com/,327,yes,,,yes,yes,yes
284,284,https://dealspotr.com/,333,yes,,,yes,yes,yes
293,293,https://worldwidebrands.com/,342,yes,,,yes,yes,yes
295,295,https://www.ebay.com/,344,yes,,,yes,yes,yes
296,296,https://www.apple.com/,345,yes,,,yes,yes,yes
297,297,https://www.walmart.com/,346,yes,,,yes,yes,yes
300,300,https://www.turkishairlines.com/,549,no,,,no,no,
301,301,https://www.lufthansa.com/us/en/homepage,550,yes,CCPA / Do Not Sell My Info,CCPA / Do Not Sell My Info,yes,yes,
302,302,https://www.tripadvisor.com/,551,no,,,no,no,
303,303,https://www.kayak.com/,552,yes,Do Not Sell or Share My Info,Do Not Sell or Share My Info,yes,yes,
304,304,https://www.priceline.com/?vrid=5b0366966e01f115e8aa3a82cd601546,553,no,,,no,no,
305,305,https://www.lonelyplanet.com/,554,no,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,no,no,
306,306,https://www.skyscanner.com/?previousCultureSource=GEO_LOCATION&redirectedFrom=www.skyscanner.net,555,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,
307,307,https://www.hotwire.com/,556,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,
308,308,https://www.cheapoair.com/,557,no,,,no,no,
309,309,https://www.bookingbuddy.com/en/,558,no,,,no,no,
310,310,https://www.travelzoo.com/,559,no,,,no,no,
311,311,https://www.goibibo.com/,560,no,,,no,no,
312,312,https://www.cleartrip.com/,561,no,,,no,no,
313,313,https://www.yatra.com/,562,no,,,no,no,
314,314,https://wizzair.com/,563,yes,,,yes,yes,
315,315,https://www.airfarewatchdog.com/,564,no,,,no,no,
316,316,https://seatguru.com/,565,yes,,,yes,yes,
317,317,https://www.onetravel.com/,566,no,,,no,no,
318,318,https://www.booking.com/,567,no,,,no,no,
319,319,https://us.hurb.com/,568,no,,,no,no,
320,320,https://www.airbnb.com/,569,no,,,no,no,
321,321,https://www.marriott.com/default.mi,570,yes,,,yes,yes,
322,322,https://www.hilton.com/en/,571,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,
323,323,https://www.ihg.com/hotels/us/en/reservation,572,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,
324,324,https://www.vrbo.com/,573,yes,,,yes,yes,
325,325,https://www.agoda.com/,574,no,,,no,no,
326,326,https://www.marriott.com/default.mi?redirectFrom=www.starwoodhotels.com,575,yes,,,yes,yes,
327,327,https://www.choicehotels.com/,576,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,
328,328,https://www.hyatt.com/,577,no,,,no,no,
329,329,https://www.trivago.com/,578,yes,,,yes,yes,
330,330,https://www.thrillist.com/,579,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,
331,331,https://www.timeout.com/,580,yes,Do not sell my information,Do not sell my information,yes,yes,
332,332,https://www.fodors.com/,581,yes,,,yes,yes,
333,333,https://www.travelandleisure.com/,582,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,
334,334,https://www.travelchannel.com/,583,yes,,,yes,yes,
335,335,https://www.oyster.com/,584,yes,,,yes,yes,
336,336,https://www.saveur.com/,585,yes,,,yes,yes,
337,337,https://www.cntraveler.com/,586,no,,,no,no,
338,338,https://boardingarea.com/,587,yes,,,yes,yes,
339,339,https://londonist.com/,588,yes,,,yes,yes,
340,340,https://www.flyertalk.com/,589,no,,,no,no,
341,341,https://www.sunset.com/,590,no,,,no,no,
342,342,https://www.southernliving.com/travel/coastal-living,591,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,yes,
343,343,https://www.frommers.com/,592,no,,,no,no,
359,359,https://www.bissell.com/,608,yes,,,yes,yes,yes
361,361,https://www.tomshardware.com/,610,yes,Do not sell or share my personal information,Do not sell my info,yes,yes,yes
362,362,https://www.newegg.com/,611,no,,,no,no,yes
372,372,https://pcpartpicker.com/,621,yes,,,yes,yes,yes
377,377,https://epson.com/usa,626,yes,,,yes,yes,yes
380,380,https://us.norton.com/,629,no,Do Not Sell or Share My Personal Data,Do Not Sell or Share My Personal Data,no,no,no
385,385,https://www.macbooster.net/,634,yes,,,yes,yes,no
386,386,https://www.eset.com/us/,635,no,Do not sell or share my personal information,Do not sell or share my personal information,no,no,no
387,387,https://www.avira.com/,636,no,Do Not Sell or Share My Personal Data,Do Not Sell or Share My Personal Data,no,no,no
395,395,https://www.livestrong.com/,51,yes,,,yes,yes,yes
397,397,https://www.healthline.com/,53,yes,,,yes,yes,yes
399,399,https://healthypage.com/,55,yes,,,yes,yes,yes
417,417,https://curejoy.com/,73,yes,,,yes,yes,yes
420,420,https://www.walgreens.com/,76,yes,,,yes,yes,yes
421,421,https://www.cvs.com/,77,yes,,,yes,yes,yes
429,429,https://www.womenshealthmag.com/,85,yes,,,yes,yes,yes
436,436,https://empowher.com/,92,yes,,,yes,yes,yes
438,438,https://youngwomenshealth.org/,94,yes,,,yes,yes,yes
443,443,https://society6.com/,99,yes,,,yes,yes,yes
445,445,https://www.codecademy.com/,944,yes,Do Not Sell My Personal Information,,yes,yes,yes
446,446,https://code.org/,945,no,,,no,no,yes
447,447,https://www.udacity.com/,946,no,,Do not sell or share my personal information.,no,no,no
448,448,https://www.wonderhowto.com/,947,yes,,,yes,yes,yes
449,449,https://www.doityourself.com/,948,yes,,Do Not Sell My Personal Information,yes,yes,yes
450,450,https://www.brainpop.com/,949,yes,,,yes,yes,yes
451,451,https://www.memrise.com/,950,no,,Do Not Sell or Share My Personal Info,no,no,no
452,452,https://bigthink.com/,951,no,,Do Not Sell or Share My Personal Information,no,no,yes
453,453,https://www.pluralsight.com/,952,no,,California Do Not Sell,no,no,no
454,454,https://alison.com/,953,no,,,no,no,yes
455,455,https://tympanus.net/codrops/,954,yes,,,yes,yes,no
457,457,https://www.youtube.com/,956,no,,California Do Not Sell,no,no,yes
459,459,https://www.cnn.com/,958,yes,,,yes,yes,yes
460,460,https://www.netflix.com/,959,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
461,461,https://weather.com/,960,no,,Do Not Sell My Information,no,no,yes
462,462,https://www.twitch.tv/,961,no,,Do Not Sell My Information,no,no,yes
463,463,https://www.bbc.com/,962,yes,AdChoices / Do Not Sell My Info,Do Not Sell My Information,yes,yes,yes
464,464,https://soundcloud.com/,963,no,,,no,no,yes
465,465,https://www.etsy.com/,964,no,,Do not sell or share my personal information,no,no,no
466,466,https://www.azlyrics.com/,965,no,,Do Not Sell or Share My Personal Information,no,no,no
467,467,https://www.foxnews.com/,966,yes,,,yes,yes,yes
468,468,https://vimeo.com/,967,no,,Do Not Sell or Share My Personal Information,no,no,yes
471,471,https://www.dailymotion.com/us,970,yes,,,yes,yes,yes
472,472,https://www.foodnetwork.com/,971,yes,,,yes,yes,yes
473,473,https://www.foxsports.com/,972,yes,,,yes,yes,yes
474,474,https://genius.com/,973,yes,Do Not Sell My Personal Information,,yes,yes,yes
475,475,https://www.pandora.com/,974,yes,,Do Not Sell My Personal Information,yes,yes,yes
476,476,https://gfycat.com/,975,no,,,no,no,yes
479,479,https://www.allmusic.com/,978,yes,,,yes,yes,yes
481,481,https://bandcamp.com/,980,no,,,no,no,yes
482,482,https://pitchfork.com/,981,no,,,no,no,yes
483,483,https://www.last.fm/,982,yes,Do Not Sell My Personal Information,Do Not Sell or Share My Personal Information,yes,yes,yes
485,485,https://tunein.com/,984,no,,Do Not Sell or Share My Personal Information,no,no,yes
487,487,https://www.fandango.com/,986,yes,,Do Not Sell My Info,yes,yes,yes
488,488,https://www.ticketmaster.com/,987,yes,,Do Not Sell or Share My Personal Information,yes,yes,yes
492,492,https://www.cinemark.com/,991,yes,Do Not Sell My Personal Information,,yes,yes,yes
493,493,https://www.songkick.com/,992,yes,,,yes,yes,no
494,494,https://www.livenation.com/,993,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
495,495,https://www.vividseats.com/,994,no,Do Not Sell or Share My Information,,no,no,no
498,498,https://seatgeek.com/,997,no,,,no,no,yes
499,499,https://www.broadway.com/,998,no,,Do Not Sell My PI,no,no,no
500,500,https://www.cirquedusoleil.com/,999,yes,,,yes,yes,no
505,505,https://www.seetickets.com/fr/,1004,no,,,no,no,yes
507,507,https://pixabay.com/,1006,no,,,no,no,yes
512,512,https://all-free-download.com/,1011,no,,,no,no,yes
513,513,https://depositphotos.com/,1012,no,,,no,no,yes
514,514,https://500px.com/,1013,no,,,no,no,yes
515,515,https://creativemarket.com/,1014,no,,,no,no,yes
516,516,https://www.forbes.com/?sh=112eecaf2254,1015,yes,,,yes,yes,yes
517,517,https://www.businessinsider.com/,1016,yes,,,yes,yes,yes
519,519,https://www.bloomberg.com/,1018,yes,,,yes,yes,yes
522,522,https://www.cnn.com/business,1021,yes,,,yes,yes,yes
523,523,https://www.cnbc.com/,1022,yes,Do Not Sell My Personal Information,,yes,yes,yes
526,526,https://www.bizjournals.com/,1025,no,,Do not sell or share my personal information.,no,no,no
527,527,https://seekingalpha.com/,1026,yes,Do Not Sell My Personal Information,Do not sell or share my personal information.,yes,yes,yes
528,528,https://fortune.com/,1027,yes,Do Not Sell/Share My Personal Information,,yes,yes,yes
529,529,https://www.inc.com/,1028,yes,DO NOT SELL MY DATA,,yes,yes,yes
530,530,https://www.economist.com/,1029,yes,California: Do Not Sell My Personal Information,,yes,yes,yes
532,532,https://www.fastcompany.com/,1031,yes,,Do Not Sell My Personal Information,yes,yes,yes
533,533,https://www.foxbusiness.com/,1032,yes,,,yes,yes,yes
534,534,http://hestreet.com/,1033,no,,,no,no,yes
535,535,https://www.business-standard.com/,1034,no,,Do Not Sell or Share My Personal Information,no,no,no
538,538,https://www.bankofamerica.com/,1037,no,,Do Not Sell My Personal Information,no,no,no
542,542,https://www.citi.com/,1041,no,Do Not Sell or Share My Personal Information,,no,no,no
543,543,https://www.icicibank.com/,1042,no,,Do Not Sell My Personal Information,no,no,no
546,546,https://www.mheducation.com/,895,no,,CA Do Not Sell/Share My Personal Information,no,no,no
548,548,https://www.fiverr.com/,897,no,,Do Not Sell or Share My Personal Information,no,no,no
549,549,https://www.behance.net/,898,yes,Do not sell or share my personal information,,no,yes,no
550,550,https://www.behance.net/,899,yes,Do not sell or share my personal information,,no,yes,no
551,551,https://dribbble.com/,900,no,,Do Not Sell or Share My Personal Information,no,no,yes
552,552,https://www.freelancer.com/,901,no,,Do Not Sell or Share My Personal Information,no,no,no
553,553,https://www.justanswer.com/,902,no,,Do Not Sell My Personal Information,no,no,no
555,555,https://www.dice.com/,904,yes,Do Not Sell My Personal Information,,yes,yes,yes
559,559,https://www.flexjobs.com/,908,no,,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,no,no,no
560,560,https://www.designcrowd.com/,909,no,,Do Not Sell My Personal Information,no,no,no
563,563,https://www.microworkers.com/,912,no,,Do Not Sell Or Share My Personal Information,no,no,no
564,564,https://www.coroflot.com/,913,yes,,,yes,yes,no
566,566,https://weworkremotely.com/,915,no,,,no,no,yes
567,567,https://www.textbroker.com/best-content-writing-service,916,no,,Do Not Sell or Share My Personal Information,no,no,no
568,568,https://www.linkedin.com/feed/,917,no,,Do Not Sell My Personal Information,no,no,no
569,569,https://www.indeed.com/,918,no,,,no,no,yes
570,570,https://www.glassdoor.com/index.htm,919,yes,Do Not Sell Or Share My Information,California Customers Only: Do Not Sell My Info,yes,yes,yes
571,571,https://www.behance.net/,920,yes,Do not sell or share my personal information,,no,yes,no
572,572,https://www.monster.com/,921,yes,,Do Not Sell or Share My Personal Information,yes,yes,yes
573,573,https://www.upwork.com/,922,no,,Do Not Sell or Share My Personal Information,no,no,no
575,575,https://www.snagajob.com/,924,yes,Do Not Sell or Share My Personal Information,Do Not Sell My Info,yes,yes,yes
576,576,https://www.careerbuilder.com/,925,yes,Do Not Sell My Personal Information,Do not sell my info,yes,yes,yes
577,577,https://www.salary.com/,926,no,Do Not Sell or Share My Information,DO NOT SELL MY INFO,no,no,no
582,582,https://www.usajobs.gov/,931,no,,Do Not Sell My Personal Information,no,no,no
583,583,https://www.ziprecruiter.com/,932,yes,,,yes,yes,yes
584,584,https://www.governmentjobs.com/,933,yes,Do not sell my personal information,,yes,yes,yes
585,585,https://www.livecareer.com/,934,no,Do Not Sell or Share My Info,,no,no,no
586,586,https://www.geeksforgeeks.org/,935,yes,,,yes,yes,yes
587,587,https://stackexchange.com/,936,no,,,no,no,yes
590,590,https://www.udemy.com/,939,yes,,,yes,yes,no
591,591,https://www.howstuffworks.com/,940,yes,,Do not sell or share my personal information.,yes,yes,yes
593,593,https://www.edx.org/,942,no,Do Not Sell My Personal Information,,no,no,no
594,594,https://www.foodnetwork.com/,0,yes,,,yes,yes,yes
596,596,https://www.food.com/,2,no,,Do Not Sell or Share My Personal Information (Personal Data Opt-out),no,no,no
597,597,https://sallysbakingaddiction.com/,3,yes,Do not sell or share my personal information.,,yes,yes,yes
599,599,https://www.seriouseats.com/,5,yes,Do Not Sell My Personal Information,Do not sell my personal information,yes,yes,yes
601,601,https://www.eater.com/,7,yes,Do Not Sell or Share My Personal Info,,yes,yes,yes
602,602,https://www.thrillist.com/,8,yes,Do Not Sell or Share My Personal Information,DO NOT SELL MY PERSONAL INFORMATION,yes,yes,yes
603,603,https://www.myrecipes.com/,9,yes,California Do Not Sell,,yes,yes,yes
604,604,https://cookpad.com/us?via=jp,10,yes,,,yes,yes,yes
605,605,https://www.tasteofhome.com/,11,yes,,DO NOT SELL,yes,yes,yes
606,606,https://www.delish.com/,12,yes,,,yes,yes,yes
607,607,https://www.marthastewart.com/,13,yes,California Do Not Sell,,yes,yes,yes
609,609,https://www.thepioneerwoman.com/,15,yes,,,yes,yes,yes
611,611,https://www.grubhub.com/,17,yes,Do Not Sell My Information,,yes,yes,yes
612,612,https://www.grubhub.com/?utm_source=eat24hours.com&utm_medium=grubhub-owned-delivery-properties&utm_campaign=growth_redirect-eat24-legacy_201811&utm_content=nopromo_,18,yes,Do Not Sell My Information,,yes,yes,yes
613,613,https://www.seamless.com/,19,yes,Do Not Sell My Information,Do Not Sell My Personal Information,yes,yes,yes
615,615,https://postmates.com/,21,yes,Do not sell or share my personal information,,yes,yes,yes
616,616,https://www.doordash.com/,22,no,Do Not Sell or Share My Personal Information,,no,no,no
618,618,https://www.trycaviar.com/,24,yes,Do Not Sell or Share My Personal Information,Do Not Sell,yes,yes,yes
619,619,https://www.beyondmenu.com/,25,no,,Do Not Sell,no,no,no
620,620,https://www.safeway.com/,26,no,,Do Not Sell My Personal Information,no,no,no
624,624,http://lueapron.com/,30,yes,,Do not sell my info,yes,yes,yes
625,625,https://www.berries.com/,31,yes,Do Not Sell My Personal Information,,yes,yes,yes
626,626,https://www.harryanddavid.com/,32,yes,,,yes,yes,yes
632,632,https://www.pizzahut.com/,38,yes,,,yes,yes,yes
633,633,https://www.mcdonalds.com/us/en-us.html,39,yes,Do Not Sell or Share My Personal Information,Do Not Sell My Personal Information,yes,yes,yes
634,634,https://order.subway.com/en-US,40,yes,Do Not Sell My Personal Information,,yes,yes,yes
635,635,https://www.olivegarden.com/home,41,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
637,637,https://www.jimmyjohns.com/,43,yes,Do Not Sell My Info,Do Not Sell My Information,yes,yes,yes
639,639,https://www.nj.bet365.com/?_h=fKLugCH5idsD_yZ-Lq4vdA%3D%3D#/HO/,45,no,,Do Not Sell My Personal Information,no,no,no
640,640,https://www.flashscore.com/,46,no,,Do Not Sell My Personal Infomation,no,no,no
642,642,https://www.bet-at-home.com/,48,yes,,,yes,yes,yes
644,644,http://tenlinks.com/,449,yes,,,yes,yes,yes
649,649,https://www.d2l.com/,454,yes,Do Not Sell My PI,,yes,yes,yes
651,651,https://www.allaboutcircuits.com/,456,yes,,,yes,yes,yes
652,652,https://www.solidworks.com/,457,yes,,,yes,yes,yes
654,654,https://www.engineering.com/home,459,yes,,,yes,yes,yes
655,655,https://mathsisfun.com/,460,yes,,,yes,yes,yes
667,667,https://www.metric-conversions.org/,472,yes,,,yes,yes,yes
668,668,https://xkcd.com/,473,yes,,,yes,yes,yes
673,673,https://www.nba.com/,478,yes,,,yes,yes,yes
675,675,https://basketball.realgm.com/,480,yes,,,yes,yes,yes
676,676,https://clutchpoints.com/,481,yes,Do not sell or share my personal information.,,yes,yes,yes
677,677,https://cavsnation.com/,482,yes,Do not sell or share my personal information.,,yes,yes,yes
678,678,https://hoopshype.com/,483,yes,,,yes,yes,yes
679,679,https://basketball.realgm.com/,484,yes,,,yes,yes,yes
682,682,https://profootballtalk.nbcsports.com/,487,yes,Do Not Sell My Personal Information,,yes,yes,yes
685,685,https://www.nflshop.com/,490,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
687,687,https://www.runnersworld.com/,492,yes,,,yes,yes,yes
688,688,https://www.active.com/,493,yes,Do Not Sell My Personal Information,,yes,yes,yes
690,690,https://runsignup.com/,495,yes,,,yes,yes,yes
693,693,https://www.mapmyrun.com/,498,yes,Do Not Sell My Personal Information,,yes,yes,yes
694,694,https://thetiebar.com/,743,no,,,no,no,yes
696,696,https://www.kingsize.com/,745,yes,,,yes,yes,yes
701,701,https://www.kennethcole.com/,750,yes,,,yes,yes,yes
706,706,https://www.haggar.com/,755,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
708,708,https://www.sorel.com/,757,yes,Do Not Sell or Share My Information,,yes,yes,yes
709,709,https://www.underarmour.com/en-us/,758,yes,Do Not Sell My Personal Information,,yes,yes,yes
710,710,https://www.dsw.com/,759,yes,Do Not Sell or Share My Personal Information,,yes,yes,no
711,711,https://www.prana.com/,760,yes,,,yes,yes,yes
713,713,https://www.famousfootwear.com/,762,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
714,714,https://www.vans.com/en-us,763,yes,,,yes,yes,yes
715,715,https://www.kicksonfire.com/,764,yes,,,yes,yes,no
717,717,https://www.colehaan.com/,766,yes,Do not sell my info,,yes,yes,yes
719,719,https://www.ray-ban.com/usa,768,yes,DO NOT SELL MY PERSONAL INFORMATION,,yes,yes,yes
720,720,https://www.sunglasshut.com/,769,yes,Do Not Sell My Personal Information,,yes,yes,yes
722,722,https://www.oakley.com/en-us,771,yes,Do not sell my personal information,,yes,yes,yes
724,724,https://www.prada.com/us/en.html,773,yes,,,yes,yes,yes
726,726,https://www.glasses.com/,775,yes,Do Not Sell My Personal Information,,yes,yes,yes
730,730,https://allynscura.com/,779,no,,,no,no,yes
731,731,https://flightaware.com/,780,no,,,no,no,yes
732,732,https://www.flightradar24.com/,781,yes,,,yes,yes,no
733,733,https://ww2aircraft.net/forum/,782,yes,,,yes,yes,no
738,738,https://vansairforce.net/,787,yes,,,yes,yes,no
739,739,http://airnav.com/,788,no,,,no,no,yes
741,741,https://www.kbb.com/,790,yes,,,yes,yes,yes
742,742,https://www.edmunds.com/,791,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
743,743,https://www.cargurus.com/,792,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
744,744,https://www.autotrader.com/,793,yes,,,no,yes,no
745,745,https://www.caranddriver.com/,794,yes,,,yes,yes,yes
746,746,https://www.cars.com/,795,yes,Do Not Sell My Personal Information,,yes,yes,yes
747,747,https://www.carmax.com/,796,yes,Do Not Sell or Share My Information,,yes,yes,yes
749,749,https://www.truecar.com/,798,yes,Do Not Sell My Personal Information,,yes,yes,yes
751,751,https://www.jdpower.com/cars,800,yes,CA Do Not Sell or Share My Information,,yes,yes,yes
754,754,https://classiccars.com/,803,no,,,no,no,yes
755,755,https://www.autobytel.com/,804,yes,Do Not Sell My Information,,yes,yes,yes
757,757,https://www.copart.com/,806,no,,,no,no,yes
759,759,https://www.ford.com/,808,yes,,,yes,yes,yes
760,760,http://www.honda.com/,809,yes,,,yes,yes,yes
761,761,https://www.chevrolet.com/,810,yes,,,yes,yes,yes
762,762,https://www.toyota.com/,811,yes,,,yes,yes,yes
763,763,https://www.nissanusa.com/,812,yes,Do Not Sell My Personal Information,,yes,yes,yes
764,764,https://www.mbusa.com/en/home,813,yes,Do Not Sell My Personal Information,,yes,yes,yes
765,765,https://www.jeep.com/,814,yes,,,yes,yes,yes
766,766,https://www.kia.com/us/en,815,yes,,,yes,yes,yes
767,767,https://www.bmwusa.com/,816,yes,Do Not Sell My Personal Information,,yes,yes,yes
768,768,https://www.gm.com/,817,no,,,no,no,yes
769,769,https://www.hyundaiusa.com/us/en,818,yes,,,yes,yes,yes
770,770,https://www.lexus.com/,819,yes,,,yes,yes,yes
771,771,https://www.audiusa.com/us/web/en.html,820,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
772,772,https://www.porsche.com/usa/,821,yes,,,yes,yes,yes
773,773,https://www.dodge.com/,822,yes,,,yes,yes,yes
774,774,https://www.subaru.com/index.html,823,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
775,775,https://www.vw.com/en.html,824,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
776,776,https://www.mazdausa.com/,825,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,yes,yes,yes
777,777,https://www.volvocars.com/us/,826,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
778,778,https://www.gmc.com/,827,yes,,,yes,yes,yes
784,784,https://www.boatshop24.com/,833,yes,Do Not Sell My Personal Information,,yes,yes,yes
785,785,https://www.boattrader.com/,834,yes,Do Not Sell My Personal Information,,yes,yes,yes
786,786,https://www.pursuitboats.com/,835,yes,,,yes,yes,yes
787,787,https://www.yachtworld.com/,836,yes,Do Not Sell My Personal Information,,yes,yes,yes
788,788,https://www.westmarine.com/,837,yes,,,yes,yes,yes
789,789,https://www.ulta.com/,838,yes,Do Not Sell My Personal Information,,yes,yes,yes
790,790,https://www.sephora.com/,839,yes,,,yes,yes,no
792,792,https://www.elle.com/,841,yes,,,yes,yes,yes
793,793,https://www.self.com/,842,no,,,no,no,yes
796,796,https://www.bestbuy.com/,351,yes,CA Do Not Sell/Share My Personal Information,,yes,yes,yes
797,797,https://www.target.com/,352,yes,,,yes,yes,yes
798,798,https://www.homedepot.com/,353,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
801,801,https://www.groupon.com/,356,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
802,802,https://www.macys.com/,357,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
803,803,https://slickdeals.net/,358,yes,Do Not Sell My Personal Information,,yes,yes,yes
804,804,https://www.lowes.com/,359,yes,,,yes,yes,yes
809,809,https://www.kohls.com/,364,yes,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,yes,yes,yes
810,810,https://www.jcpenney.com/,365,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
811,811,https://www.sears.com/,366,yes,,,yes,yes,yes
812,812,https://www.dickssportinggoods.com/,367,yes,,,yes,yes,yes
813,813,https://www.cabelas.com/shop/en#,368,yes,Do Not Sell Or Share My Personal Information,,yes,yes,yes
817,817,https://www.bloomingdales.com/,372,yes,Do Not Sell or Share My Personal Information,,yes,yes,yes
818,818,https://www.neimanmarcus.com/,373,yes,Do Not Sell My Personal Information,,yes,yes,yes
