,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Preesnce confirm,Text,Index
18,18,64,whirlpool_602,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,602
19,19,65,macys_357,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,357
20,20,72,curbed_126,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,126
21,21,74,treehugger_116,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,116
22,22,75,retailmenot_296,1,Yes,Do Not Sell My Personal infomation| 1/1,Yes,Yes,Do not sell my personal information,296
23,23,81,groupon_294,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,294
24,24,82,houzz_119,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,119
25,25,87,astrology_382,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,382
26,26,89,active_493,13,Yes,Do Not Sell My Personal information| 1/3,Yes,Yes,Do not sell my personal information,493
27,27,90,com_166,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,166
28,28,91,com_482,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,482
29,29,96,avast_631,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,631
30,30,102,com_217,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,217
31,31,105,bizrate_312,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,312
32,32,107,zulily_300,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,300
33,33,109,politico_160,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,160
34,34,114,shop_321,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,321
35,35,117,abt_603,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,603
36,36,127,redbubble_97,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,97
37,37,131,groupon_356,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,356
38,38,136,webqc_421,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,421
39,39,143,com_253,,Check,"ot sell]

o/o",Yes,No,,253
40,40,145,oracle_656,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,656
41,41,146,net_358,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,358
42,42,149,trycaviar_24,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,24
43,43,155,airfarewatchdog_564,,Check,,Yes,No,,564
44,44,162,kohls_364,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,364
45,45,166,nydailynews_180,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,180
46,46,167,chegg_233,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,233
47,47,169,ihg_572,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,572
48,48,170,dailykos_164,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,164
49,49,171,boattrader_289,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,289
50,50,175,microcenter_622,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,622
51,51,186,jetblue_542,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,542
52,52,188,com_632,1,Yes,3ell My Personal Information request] 1/1,Yes,Yes,,632
53,53,189,norton_629,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information,629
54,54,196,com_93,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,93
55,55,197,seriouseats_5,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,5
56,56,202,lufthansa_550,1,Yes,CCPA / Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,550
57,57,206,scholastic_235,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,235
58,58,207,espn_499,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,499
59,59,215,webqc_420,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,420
60,60,224,digitaltrends_670,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,670
61,61,228,gardenweb_117,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,117
62,62,230,com_325,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,325
63,63,231,bloomingdales_372,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,372
64,64,234,berries_31,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,31
65,65,236,sbnation_507,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,507
66,66,237,petfinder_205,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,205
67,67,239,com_148,1,Yes,CA: Do Not Sell My Info| Wi,Yes,Yes,California residents: do not sell my info,148
68,68,240,thrillist_8,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,8
69,69,243,lg_594,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,594
70,70,244,panasonic_596,1,Yes,Do Not Sell My Datal Wi,Yes,Yes,Do not sell my personal information,596
71,71,246,cnet_664,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,664
72,72,249,com_301,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,301
73,73,252,samsung_597,1,Yes,ell or Share My Personal information| 1/1,Yes,Yes,Do not sell or share my personal information,597
74,74,253,geappliances_599,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,599
75,75,263,southernliving_591,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,591
76,76,270,nflshop_490,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,490
77,77,280,eset_635,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,635
78,78,286,jimmyjohns_43,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,43
79,79,293,eater_7,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,7
80,80,298,biomedcentral_402,1,Yes,Manage cookies/Do not sell my data|_ 1/1,Yes,Yes,Do not sell my personal information,402
81,81,304,net_311,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,311
82,82,313,everydayhealth_87,1,Yes,"Do Not S ""1",Yes,Yes,,87
83,83,314,hotwire_556,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,556
84,84,319,weightwatchers_54,1,Yes,Do Not Sell My Personal Info| Wi,Yes,Yes,Do not sell my personal information,54
85,85,320,officedepot_135,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,135
86,86,329,jcpenney_365,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,365
87,87,330,1stdibs_98,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,98
88,88,335,homedepot_353,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,353
89,89,338,kickstarter_186,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,186
90,90,339,staples_136,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,136
91,91,340,kayak_552,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,552
92,92,343,hilton_571,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,571
93,93,347,doordash_22,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,22
94,94,352,com_255,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,255
95,95,359,d2l_454,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information,454
96,96,360,timeout_580,1,Yes,Do not sell my information| Wi,Yes,Yes,Do not sell my personal information,580
97,97,370,cengage_261,1,Yes,DO NOTSELL Wi,Yes,Yes,Do not sell my personal information,261
98,98,372,go_163,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,163
99,99,380,backyardchickens_214,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,214
100,100,381,avg_628,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,628
101,101,384,oreilly_258,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,258
102,102,386,org_176,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,176
103,103,388,worldmarket_111,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,111
104,104,391,angi_274,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,274
105,105,392,thrillist_579,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,579
106,106,393,rxlist_78,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,78
107,107,395,horoscope_380,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,380
108,108,396,bestbuy_593,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,593
109,109,399,choicehotels_576,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,576
110,110,411,craftsy_132,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,132
111,111,417,com_293,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,293
112,112,420,dailymail_178,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,178
113,113,422,adobe_647,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,647
114,114,424,imore_671,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,671
115,115,429,myrecipes_9,1,Yes,californi nM,Yes,Yes,California residents: do not sell my info,9
116,116,432,homeadvisor_275,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,275
117,117,435,travelandleisure_582,Aug-97,Check,Do not sell my personal information,Yes,Yes,Do not sell my personal information,582
118,118,446,skyscanner_555,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,555
119,119,448,bestbuy_351,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,351
120,120,450,tarot_387,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,387
121,121,452,theblaze_150,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,150
122,122,456,cabelas_368,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,368
123,123,459,avira_636,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information,636
124,124,462,olivegarden_41,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,41
125,125,466,shape_88,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,88
126,126,475,belk_377,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,377
127,127,484,tacobell_44,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,44
128,128,486,vistaprint_137,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,137
129,129,488,theatlantic_167,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,167
130,130,490,huffpost_158,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,158
131,131,495,biglots_110,1,Yes,Customers Only: Do Not Sell My Info| 1/1,Yes,Yes,Do not sell my personal information,110
132,132,499,everydayhealth_74,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,74
133,133,502,scribd_224,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,224
134,134,505,rakuten_299,1,Yes,Information / Personal Data Opt-out] 1/1,Yes,Yes,,299
135,135,509,seamless_19,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,19
136,136,510,com_481,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,481
137,137,515,dollardays_334,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,334
138,138,518,keurig_598,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,598
139,139,523,myfitnesspal_52,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,52
140,140,524,riteaid_80,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,80
141,141,528,rakuten_316,1,Yes,Information / Personal Data Opt-out] 1/1,Yes,Yes,Do not sell or share my personal information,316
142,142,531,marthastewart_123,1,Yes,"Califor ""1",Yes,Yes,California residents: do not sell my info,123
143,143,534,mysimon_319,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,319
144,144,538,com_152,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,152
145,145,544,publishersweekly_238,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,238
146,146,547,saatchiart_104,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,104
147,147,549,hillspet_198,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,198
148,148,558,treehugger_428,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,428
149,149,560,biglots_375,1,Yes,Customers Only: Do Not Sell My Info| 1/1,Yes,Yes,Do not sell my personal information,375
150,150,561,dogster_215,1,Yes,DO NOTSELL MY INFORMATION| 1,Yes,Yes,Do not sell my personal information,215
151,151,574,space_381,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,381
152,152,575,net_295,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,295
153,153,588,mapmyrun_498,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,498
154,154,601,yellowpages_269,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,269
155,155,602,innerbody_403,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,403
156,156,604,bhg_125,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,125
157,157,609,grubhub_17,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,17
158,158,612,com_179,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,179
159,159,616,gardeningknowhow_115,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,115
160,160,618,us_302,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,302
