,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,index,Index
52,52,446,toryburch_848,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,848,848
53,53,153,travelchannel_583,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,583,583
54,54,304,trivago_578,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,578,578
55,55,650,udemy_885,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,885,885
56,56,503,udemy_939,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,939,939
57,57,906,westmarine_837,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,837,837
58,58,561,wonderhowto_947,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,947,947
59,59,675,zales_706,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,706,706
60,60,342,zara_692,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,692,692
61,61,301,zdnet_679,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,679,679
