,Unnamed: 0,Index,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text
23,85,1028,inc_1028,1,Yes,"DO NOTSELL MY DATA ""1",Yes,Yes,Do not sell my personal information
24,87,487,nbcsports_487,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
25,88,425,livescience_425,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
26,97,688,victoriassecret_688,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
27,101,888,sparknotes_888,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
28,102,303,offers_303,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
29,103,208,adoptapet_208,1,Yes,Do not sell my information| Wi,Yes,Yes,Do not sell my personal information
30,105,141,com_141,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information
31,108,39,mcdonalds_39,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
32,110,816,bmwusa_816,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
33,112,51,livestrong_51,1,Yes,"Do Not Sell My Personal Infor ""1",Yes,Yes,Do not sell my personal information
34,115,218,thedodo_218,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
35,117,864,com_864,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
36,118,62,healthgrades_62,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
37,120,40,subway_40,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
38,121,982,last_982,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
39,125,445,autodesk_445,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
40,129,503,mlb_503,1,Yes,Do Not Sell My Personal Data| Wi,Yes,Yes,Do not sell my personal information
41,131,505,cbssports_505,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information
42,133,537,southwest_537,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
43,135,904,dice_904,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
44,137,689,footlocker_689,1,Yes,ell or Share my Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
45,138,994,vividseats_994,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information
46,139,13,marthastewart_13,1,Yes,California Do Not Sell] Wi,Yes,Yes,California residents: do not sell my info
47,144,366,sears_366,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
48,145,130,hobbylobby_130,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
49,151,280,addresses_280,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
50,159,142,dailywire_142,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
51,160,967,com_967,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
52,161,71,medscape_71,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
53,167,613,cdw_613,1,Yes,sonal Information - Currently Sharing] 1/1,Yes,Yes,Do not sell or share my personal information
54,171,252,kobo_252,1,Yes,Information (Personal Data Opt-out)| 1/1,Yes,Yes,Do not sell or share my personal information
55,175,357,macys_357,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
56,184,775,glasses_775,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
57,189,126,curbed_126,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
58,191,116,treehugger_116,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
59,192,721,victoriassecret_721,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
60,193,296,retailmenot_296,1,Yes,Do Not Sell My Personal infomation| 1/1,Yes,Yes,Do not sell my personal information
61,198,958,cnn_958,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
62,203,294,groupon_294,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information
63,204,119,houzz_119,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
64,211,382,astrology_382,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information
65,214,766,colehaan_766,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
66,215,493,active_493,13,Yes,Do Not Sell My Personal information| 1/3,Yes,Yes,Do not sell my personal information
67,216,166,com_166,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
68,226,631,avast_631,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
69,235,952,pluralsight_952,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information
70,238,768,ray-ban_768,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information
71,239,1027,com_1027,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
72,241,681,net_681,1,Yes,Do Not Sell My Datal Wi,Yes,Yes,Do not sell my personal information
73,242,312,bizrate_312,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
74,244,300,zulily_300,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
75,246,160,politico_160,2-Apr,Check,Do not sell my info 4/2,Yes,Yes,Do not sell my personal information
76,247,833,boatshop24_833,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
77,250,223,overstock_223,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
78,255,603,abt_603,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
79,269,694,urbanoutfitters_694,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
80,272,769,sunglasshut_769,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
81,273,97,redbubble_97,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
82,275,1058,marketwatch_1058,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
83,278,798,truecar_798,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
84,280,95,etsy_95,1,Yes,Privacy /Do not sell my personal info| 1/1,Yes,Yes,Do not sell my personal information
85,285,356,groupon_356,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information
86,287,114,anthropologie_114,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
87,290,755,haggar_755,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
88,292,421,webqc_421,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
89,297,359,lowes_359,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
90,299,991,cinemark_991,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
91,304,253,com_253,,Check,"ot sell]

o/o",Yes,No,
92,306,656,oracle_656,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
93,308,358,net_358,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
94,318,834,boattrader_834,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
95,319,24,trycaviar_24,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
96,322,934,livecareer_934,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information
97,323,304,dealnews_304,2-Feb,Check,Do not sell my data| 2/2,Yes,Yes,Do not sell my personal information
98,325,843,minq_843,1,Yes,Do Not Sell My Datal Wi,Yes,Yes,Do not sell my personal information
99,331,564,airfarewatchdog_564,,Check,,Yes,No,
100,334,786,airforce_786,2-Apr,Check,Do Not Sell My Personal information| 1/2,Yes,Yes,Do not sell my personal information
101,344,344,ebay_344,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
102,345,364,kohls_364,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
103,348,855,ipsy_855,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information
104,352,876,racked_876,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information
105,354,709,fossil_709,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
106,357,968,deviantart_968,13,Yes,Do Not Sell My Personal information| 1/3,Yes,Yes,Do not sell my personal information
107,360,572,ihg_572,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information
108,361,164,dailykos_164,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
109,362,289,boattrader_289,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
110,368,622,microcenter_622,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
111,383,824,vw_824,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
112,384,542,jetblue_542,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
113,386,632,com_632,1,Yes,3ell My Personal Information request] 1/1,Yes,Yes,Do not sell my personal information
114,387,629,norton_629,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information
115,389,673,tomsguide_673,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
116,390,845,racked_845,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information
117,391,270,whitepages_270,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
118,395,53,healthline_53,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
119,398,5,seriouseats_5,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
120,399,924,snagajob_924,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
121,408,550,lufthansa_550,1,Yes,CCPA / Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
122,412,610,tomshardware_610,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
123,413,235,scholastic_235,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
124,415,499,espn_499,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information
125,424,420,webqc_420,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
126,433,559,travelzoo_559,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
127,434,670,digitaltrends_670,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information
128,435,801,thecarconnection_801,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
129,441,117,gardenweb_117,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
130,446,325,com_325,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
131,447,687,hm_687,1,Yes,Â© Not Sell Or Share My Personal Data| 1/1,Yes,Yes,Do not sell or share my personal information
132,448,372,bloomingdales_372,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
133,452,31,berries_31,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
134,455,507,sbnation_507,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information
135,456,205,petfinder_205,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
136,458,148,com_148,1,Yes,CA: Do Not Sell My Info| Wi,Yes,Yes,California residents: do not sell my info
137,459,8,thrillist_8,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
138,463,594,lg_594,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
139,466,596,panasonic_596,1,Yes,Do Not Sell My Datal Wi,Yes,Yes,Do not sell my personal information
140,469,664,cnet_664,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
141,473,1089,allrecipes_1089,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
142,475,301,com_301,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
143,480,760,prana_760,1,Yes,fornia Residents: Do Not Sell My Info| 1/1,Yes,Yes,California residents: do not sell my info
144,481,597,samsung_597,1,Yes,ell or Share My Personal information| 1/1,Yes,Yes,Do not sell or share my personal information
145,487,800,jdpower_800,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information
146,488,599,geappliances_599,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
147,504,591,southernliving_591,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
148,507,107,potterybarn_107,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
149,509,1022,cnbc_1022,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
150,510,984,com_984,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information
151,512,707,thenorthface_707,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
152,516,961,twitch_961,,Check,"ot sell]

o/o",Yes,No,
153,518,490,nflshop_490,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
154,531,677,toptenreviews_677,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
155,534,635,eset_635,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
156,544,1086,salliemae_1086,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information
157,545,43,jimmyjohns_43,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
158,548,703,pandora_703,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
159,549,872,lifeandstylemag_872,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information
160,562,7,eater_7,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information
161,563,792,cargurus_792,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
162,567,836,yachtworld_836,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
163,572,402,biomedcentral_402,1,Yes,Manage cookies/Do not sell my data|_ 1/1,Yes,Yes,Do not sell my personal information
164,579,311,net_311,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
165,588,925,careerbuilder_925,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
166,591,87,everydayhealth_87,1,Yes,"Do Not Sell ""1",Yes,Yes,Do not sell my personal information
167,592,556,hotwire_556,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
168,596,1026,com_1026,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
169,603,54,weightwatchers_54,1,Yes,Do Not Sell My Personal Info| Wi,Yes,Yes,Do not sell my personal information
170,606,135,officedepot_135,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
171,615,838,ulta_838,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
172,618,273,manta_273,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
173,619,365,jcpenney_365,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
174,621,98,1stdibs_98,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
175,622,675,consumerreports_675,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
176,623,159,nytimes_159,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
177,630,395,sunsigns_395,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
178,631,993,livenation_993,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
179,635,353,homedepot_353,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
180,638,186,kickstarter_186,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
181,639,136,staples_136,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
182,640,552,kayak_552,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information
183,642,680,vox_680,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information
184,643,433,com_433,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
185,644,571,hilton_571,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
186,648,959,netflix_959,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
187,650,960,com_960,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
188,653,22,doordash_22,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
189,661,255,com_255,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
190,663,963,com_963,2-Apr,Check,Do Not Sell My Personal information| 1/2,Yes,Yes,Do not sell my personal information
191,667,1054,forbes_1054,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
192,670,933,governmentjobs_933,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
193,671,454,d2l_454,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information
194,672,580,timeout_580,1,Yes,Do not sell my information| Wi,Yes,Yes,Do not sell my personal information
195,673,1077,org_1077,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
196,678,574,agoda_574,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
197,680,1046,citi_1046,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
198,682,702,zulily_702,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
199,683,823,subaru_823,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information
200,685,665,tomshardware_665,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
201,689,944,codecademy_944,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
202,692,1063,statefarm_1063,2-Feb,Check,onal Information (CA residents only)|_ 2/2,Yes,Yes,Do not sell or share my personal information(CA residents only)
203,694,261,cengage_261,1,Yes,DO NOTSELL Wi,Yes,Yes,Do not sell my personal information
204,697,820,audiusa_820,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
205,699,163,go_163,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
206,702,795,cars_795,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
207,713,628,avg_628,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
208,717,258,oreilly_258,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information
209,721,66,webmd_66,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
210,722,111,worldmarket_111,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
211,723,880,blackboard_880,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information
212,724,733,3wishes_733,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
213,732,579,thrillist_579,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
214,733,78,rxlist_78,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
215,736,380,horoscope_380,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
216,737,593,bestbuy_593,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
217,742,526,ask_526,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
218,743,576,choicehotels_576,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
219,744,1021,cnn_1021,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
220,760,132,craftsy_132,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
221,768,293,com_293,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
222,772,790,kbb_790,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
223,773,178,dailymail_178,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information
224,776,647,adobe_647,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information
225,778,671,imore_671,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
226,780,354,etsy_354,1,Yes,Privacy /Do not sell my personal info| 1/1,Yes,Yes,Do not sell my personal information
227,784,581,fodors_581,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
228,786,9,myrecipes_9,1,Yes,California Do Not Sell] Wi,Yes,Yes,California residents: do not sell my info
229,790,821,porsche_821,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
230,791,737,com_737,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
231,792,275,homeadvisor_275,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information
232,798,582,travelandleisure_582,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
233,799,1030,ft_1030,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
234,806,570,marriott_570,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
235,816,555,skyscanner_555,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
236,818,351,bestbuy_351,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
237,823,387,tarot_387,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
238,825,150,theblaze_150,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
239,832,368,cabelas_368,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
240,834,1066,progressive_1066,1,Yes,onal Information (CA Residents Only)| 1/1,Yes,Yes,Do not sell or share my personal information(CA residents only)
241,835,844,maccosmetics_844,1,Yes,NALINFORMATION / TARGETED ADS| 1/1,Yes,Yes,Do not sell or share my personal information
242,837,636,avira_636,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information
243,841,41,olivegarden_41,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
244,845,812,nissanusa_812,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
245,848,88,shape_88,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
246,861,704,ralphlauren_704,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
247,863,377,belk_377,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
248,865,964,etsy_964,1,Yes,Privacy /Do not sell my personal info| 1/1,Yes,Yes,Do not sell my personal information
249,878,137,vistaprint_137,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
250,880,167,theatlantic_167,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
251,884,158,huffpost_158,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
252,888,723,venus_723,1,Yes,\-DO NOTSELL MY PERSONAL INFO| 1/1,Yes,Yes,Do not sell my personal information
