,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence  confirm,Text,Index
34,120,last_982,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,982
35,124,autodesk_445,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,445
36,127,dsw_759,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,759
37,130,cbssports_505,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,505
38,132,southwest_537,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,537
39,134,dice_904,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,904
40,137,vividseats_994,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell my personal information,994
41,138,marthastewart_13,2-Feb,Check,californi 2/2,Yes,Yes,California residents: do not sell my info,13
42,144,hobbylobby_130,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,130
43,150,addresses_280,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,280
44,158,dailywire_142,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,142
45,159,com_967,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,967
46,160,medscape_71,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,71
47,166,cdw_613,1,Yes,sonal Information - Currently Sharing] 1/1,Yes,Yes,Do not sell or share my personal information,613
48,170,kobo_252,1,Yes,Information (Personal Data Opt-out)| 1/1,Yes,Yes,Do not sell or share my personal information,252
49,173,whirlpool_602,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,602
50,175,macys_357,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,357
51,184,glasses_775,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,775
52,189,curbed_126,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,126
53,192,victoriassecret_721,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,721
54,193,retailmenot_296,1,Yes,Do Not Sell My Personal infomation| 1/1,Yes,Yes,Do not sell my personal information,296
55,196,joann_131,1,Yes,Do not sell My info,Yes,Yes,Do not sell my personal information,131
56,203,groupon_294,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,294
57,204,houzz_119,1,Yes,Do not sell or share my info| Wi,Yes,Yes,Do not sell or share my personal information,119
58,211,astrology_382,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,382
59,214,colehaan_766,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,766
60,215,active_493,13,Yes,Do Not Sell My Personal information| 1/3,Yes,Yes,Do not sell my personal information,493
61,216,com_166,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,166
62,217,com_482,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,482
63,226,avast_631,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,631
64,233,com_217,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,217
65,235,pluralsight_952,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information,952
66,238,ray-ban_768,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,768
67,239,com_1027,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1027
68,241,net_681,1,Yes,Do Not Sell My Datal Wi,Yes,Yes,Do not sell my personal information,681
69,242,bizrate_312,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,312
70,244,zulily_300,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,300
71,246,politico_160,2-Apr,Check,Do not sell my info 4/2,Yes,Yes,Do not sell my personal information,160
72,247,boatshop24_833,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,833
73,252,shop_321,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,321
74,255,abt_603,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,603
75,269,urbanoutfitters_694,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,694
76,272,sunglasshut_769,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,769
77,273,redbubble_97,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,97
78,275,marketwatch_1058,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1058
79,278,truecar_798,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,798
80,280,etsy_95,1,Yes,Privacy /Do not sell my personal info| 1/1,Yes,Yes,Do not sell my personal information,95
81,285,groupon_356,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,356
82,287,anthropologie_114,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,114
83,290,haggar_755,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,755
84,292,webqc_421,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,421
85,297,lowes_359,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,359
86,299,cinemark_991,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,991
87,304,com_253,,Check,"ot sell]

o/o",Yes,No,,253
88,306,oracle_656,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,656
89,308,net_358,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,358
90,318,boattrader_834,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,834
91,319,trycaviar_24,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,24
92,322,livecareer_934,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,934
93,326,minq_843,1,Yes,Do Not Sell My Datal Wi,Yes,Yes,Do not sell my personal information,843
94,332,airfarewatchdog_564,,Check,,Yes,No,,564
95,346,kohls_364,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,364
96,349,ipsy_855,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,855
97,353,racked_876,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,876
98,355,fossil_709,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,709
99,356,nydailynews_180,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,180
100,359,chegg_233,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,233
101,361,ihg_572,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,572
102,362,dailykos_164,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,164
103,363,boattrader_289,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,289
104,369,microcenter_622,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,622
105,384,vw_824,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,824
106,385,jetblue_542,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,542
107,387,com_632,1,Yes,3ell My Personal Information request] 1/1,Yes,Yes,Do not sell my personal information,632
108,388,norton_629,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information,629
109,391,racked_845,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,845
110,396,healthline_53,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,53
111,397,com_93,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,93
112,399,seriouseats_5,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,5
113,400,snagajob_924,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,924
114,409,lufthansa_550,1,Yes,CCPA / Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,550
115,414,scholastic_235,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,235
116,415,upwork_922,2-Apr,Check,Do not sell or share my personal info| 1/2,Yes,Yes,Do not sell or share my personal information,922
117,416,espn_499,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,499
118,425,webqc_420,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,420
119,434,travelzoo_559,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,559
120,435,digitaltrends_670,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,670
121,436,thecarconnection_801,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,801
122,442,gardenweb_117,1,Yes,Do not sell or share my info| Wi,Yes,Yes,Do not sell or share my personal information,117
123,447,com_325,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,325
124,448,hm_687,1,Yes,Â© Not Sell Or Share My Personal Data| 1/1,Yes,Yes,Do not sell or share my personal information,687
125,449,bloomingdales_372,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,372
126,453,berries_31,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,31
127,456,sbnation_507,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,507
128,457,petfinder_205,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,205
129,459,com_148,1,Yes,CA: Do Not Sell My Info| Wi,Yes,Yes,California residents: do not sell my info,148
130,460,thrillist_8,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,8
131,464,lg_594,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,594
132,467,panasonic_596,1,Yes,Do Not Sell My Datal Wi,Yes,Yes,Do not sell my personal information,596
133,470,cnet_664,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,664
134,476,com_301,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,301
135,481,prana_760,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,760
136,482,samsung_597,1,Yes,ell or Share My Personal information| 1/1,Yes,Yes,Do not sell or share my personal information,597
137,487,glassesusa_720,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,720
138,488,jdpower_800,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,800
139,489,geappliances_599,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,599
140,508,potterybarn_107,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,107
141,510,cnbc_1022,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1022
142,511,com_984,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,984
143,519,nflshop_490,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,490
144,531,toptenreviews_677,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,677
145,534,eset_635,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,635
146,544,salliemae_1086,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,1086
147,545,jimmyjohns_43,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,43
148,548,pandora_703,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,703
149,549,lifeandstylemag_872,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,872
150,562,eater_7,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,7
151,563,cargurus_792,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,792
152,567,yachtworld_836,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,836
153,572,biomedcentral_402,1,Yes,Manage cookies/Do not sell my data|_ 1/1,Yes,Yes,Do not sell my personal information,402
154,579,net_311,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,311
155,588,careerbuilder_925,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,925
156,590,finishline_761,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,761
157,591,everydayhealth_87,1,Yes,"Do Not Se ""1",Yes,Yes,Do not sell my personal information,87
158,592,hotwire_556,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,556
159,596,com_1026,2-Apr,Check,Do Not Sell My Personal information| 1/2,Yes,Yes,Do not sell my personal information,1026
160,603,weightwatchers_54,1,Yes,Do Not Sell My Personal Info| Wi,Yes,Yes,Do not sell my personal information,54
161,606,officedepot_135,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,135
162,615,ulta_838,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,838
163,618,manta_273,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,273
164,619,jcpenney_365,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,365
165,621,1stdibs_98,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,98
166,622,consumerreports_675,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,675
167,630,sunsigns_395,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,395
168,635,homedepot_353,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,353
169,638,kickstarter_186,2-Apr,Check,Do Not Sell My Personal information| 1/2,Yes,Yes,Do not sell my personal information,186
170,639,staples_136,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,136
171,642,vox_680,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,680
172,644,hilton_571,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,571
173,649,netflix_959,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,959
174,651,com_960,,Check,r Share My Personal information| 1/1,Yes,Yes,Do not sell or share my personal information,960
175,654,doordash_22,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,22
176,662,com_255,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,255
177,664,com_963,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,963
178,668,forbes_1054,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1054
179,671,governmentjobs_933,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,933
180,672,d2l_454,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information,454
181,673,timeout_580,1,Yes,Do not sell my information| Wi,Yes,Yes,Do not sell my personal information,580
182,674,org_1077,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1077
183,679,agoda_574,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,574
184,681,citi_1046,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1046
185,683,zulily_702,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,702
186,684,subaru_823,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,823
187,690,codecademy_944,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,944
188,693,statefarm_1063,2-Feb,Check,onal Information (CA residents only)|_ 2/2,Yes,Yes,Do not sell or share my personal information(CA residents only),1063
189,695,cengage_261,1,Yes,DO NOTSELL Wi,Yes,Yes,Do not sell my personal information,261
190,696,ae_700,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,700
191,698,audiusa_820,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,820
192,700,go_163,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,163
193,703,cars_795,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,795
194,704,apartmenttherapy_121,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,121
195,713,backyardchickens_214,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,214
196,714,avg_628,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,628
197,718,oreilly_258,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,258
198,721,org_176,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,176
199,722,webmd_66,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,66
200,723,worldmarket_111,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,111
201,724,blackboard_880,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information,880
202,725,3wishes_733,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,733
203,730,angi_274,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,274
204,733,thrillist_579,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,579
205,734,rxlist_78,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,78
206,737,horoscope_380,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,380
207,738,bestbuy_593,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,593
208,744,choicehotels_576,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,576
209,761,craftsy_132,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,132
210,769,com_293,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,293
211,773,kbb_790,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,790
212,774,dailymail_178,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,178
213,777,adobe_647,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,647
214,779,imore_671,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,671
215,781,etsy_354,1,Yes,Privacy /Do not sell my personal info| 1/1,Yes,Yes,Do not sell my personal information,354
216,787,myrecipes_9,1,Yes,California Do Not Sell] Wi,Yes,Yes,California residents: do not sell my info,9
217,792,com_737,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,737
218,793,homeadvisor_275,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,275
219,797,yandy_722,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,722
220,816,skyscanner_555,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,555
221,818,bestbuy_351,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,351
222,823,tarot_387,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,387
223,825,theblaze_150,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,150
224,832,cabelas_368,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,368
225,834,progressive_1066,1,Yes,onal Information (CA Residents Only)| 1/1,Yes,Yes,Do not sell or share my personal information(CA residents only),1066
226,835,maccosmetics_844,1,Yes,NALINFORMATION / TARGETED ADS| 1/1,Yes,Yes,Do not sell or share my personal information,844
227,837,avira_636,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information,636
228,845,nissanusa_812,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,812
229,861,ralphlauren_704,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,704
230,865,etsy_964,1,Yes,Privacy /Do not sell my personal info| 1/1,Yes,Yes,Do not sell my personal information,964
231,878,vistaprint_137,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,137
232,880,theatlantic_167,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,167
233,881,chegg_892,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,892
234,884,huffpost_158,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,158
235,888,venus_723,1,Yes,\-DO NOTSELL MY PERSONAL INFO| 1/1,Yes,Yes,Do not sell my personal information,723
236,894,biglots_110,1,Yes,Customers Only: Do Not Sell My Info| 1/1,Yes,Yes,Do not sell my personal information,110
237,899,everydayhealth_74,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,74
238,902,underarmour_758,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,758
239,903,forbes_1015,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1015
240,908,airliners_784,1,Yes,"DO NOTSELL MY DATA ""1",Yes,Yes,Do not sell my personal information,784
241,909,carmax_796,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,796
242,911,rakuten_299,1,Yes,Information / Personal Data Opt-out] 1/1,Yes,Yes,Do not sell or share my personal information,299
243,916,seamless_19,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,19
244,918,com_481,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,481
245,919,citi_1041,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1041
246,922,edmunds_791,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,791
247,925,dollardays_334,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,334
248,929,keurig_598,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,598
249,935,myfitnesspal_52,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,52
250,936,edx_942,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,942
251,937,riteaid_80,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,80
