,filename,step1 present,Number translated,Text translated,Text,Text present,Manual check,Index
56,amctheatres_989,No,o / o,"do not sell]

o/o",,No,No,989
57,amd_619,No,o / o,"do not sell]

o/o",,No,No,619
58,americanexpress_1038,No,o / o,"do not sell]

o/o",,No,No,1038
59,angi_274,No,o / o,"do not sell]

o/o",,No,No,274
60,anthem_1072,No,o / o,"do not sell]

o/o",,No,No,1072
61,anthropologie_114,No,o / o,"do not sell]

o/o",For CA residents,No,For CA Residents,114
62,apartmenttherapy_121,No,o / o,"do not sell]

o/o",Eu and California data subject request,No,Eu and California data subject request,121
63,apple_345,No,o / o,"do not sell]

o/o",,No,No,345
64,area-codes_278,No,o / o,"do not sell]

o/o",,No,No,278
65,art_103,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,103
66,artsy_102,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Personal information,102
67,asda_27,No,o / o,"do not sell]

o/o",,No,No,27
68,ashford_716,No,o / o,"do not sell]

o/o",,No,No,716
69,ashleyfurniture_112,Yes,1,Do not sell my Personal Information| 1/1,Do not sell my personal information,Yes,Do not sell my Personal Information,112
70,ask_526,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,526
71,asknumbers_463,No,o / o,"do not sell]

o/o",,No,No,463
72,asos_685,No,o / o,"do not sell]

o/o",,No,No,685
73,astro_388,No,o / o,"do not sell]

o/o",,No,No,388
74,astrology_382,No,o / o,DO NOTSELL MY INFO| o/o,Do not sell my personal information,Yes,DO NOTSELL MY INFO,382
75,astrologyanswers_383,No,o / o,"do not sell]

o/o",,No,No,383
76,astrosage_389,No,o / o,"do not sell]

o/o",,No,No,389
77,astrostyle_391,No,o / o,"do not sell]

o/o",,No,No,391
78,audible_232,No,o / o,"do not sell]

o/o",,No,No,232
79,audiusa_820,Yes,1,Do not sell my personal information| 1/1,Do not sell my personal information,Yes,Do not sell my personal information,820
80,audubon_193,No,o / o,"do not sell]

o/o",,No,No,193
81,autobytel_804,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,804
82,autodesk_455,Yes,1,Do not sell my personal information| 1/1,Do not sell my personal information,Yes,Do not sell my personal information,455
83,autotrader_793,No,o / o,"do not sell]

o/o",,No,No,793
84,avast_631,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do not sell my info ,631
85,avery_139,No,o / o,"do not sell]

o/o",,No,No,139
86,avg_628,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do not sell my info,628
87,aviationweather_785,No,o / o,"do not sell]

o/o",,No,No,785
88,avira_636,No,o / o,"do not sell]

o/o",,No,No,636
89,avon_846,No,o / o,"do not sell]

o/o",,No,No,846
90,azlyrics_965,No,o / o,"do not sell]

o/o",,No,No,965
91,backyardchickens_214,No,o / o,"do not sell]

o/o",,No,No,214
92,bandcamp_980,No,o / o,"do not sell]

o/o",,No,No,980
93,bankofamerica_1037,No,o / o,"do not sell]

o/o",,No,No,1037
94,barnesandnoble_225,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,225
95,basketball-reference_479,No,o / o,"do not sell]

o/o",,No,No,479
96,bbb_272,No,o / o,"do not sell]

o/o",,No,No,272
97,bbc_962,Yes,1,AdChoices / Do Not Sell My Info| val,Do not sell my personal information,Yes,AdChoices / Do Not Sell My Info,962
98,bcbs_1067,No,o / o,"do not sell]

o/o",,No,No,1067
99,behance_899,No,o / o,"do not sell]

o/o",,No,No,899
100,belk_377,Yes,1,Not Sell My Info (CA Customers Only)|_ 1/1,California residents: do not sell my info,Yes,Do Not Sell My Info (CA Customers Only),377
101,berries_31,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,31
102,bestbuy_351,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,351
103,bet-at-home_48,No,o / o,"do not sell]

o/o",,No,No,48
104,bet9ja_47,No,o / o,"do not sell]

o/o",,No,No,47
105,beyondmenu_25,No,o / o,"do not sell]

o/o",,No,No,25
106,bhg_125,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,125
107,bhphotovideo_612,No,o / o,"do not sell]

o/o",,No,No,612
108,biglots_110,Yes,1,Customers Only: Do Not Sell My Info| 1/1,Do not sell my personal information,Yes,Customers Only: Do Not Sell My Info,110
109,bigthink_951,No,o / o,"do not sell]

o/o",,No,No,951
110,billboard_977,No,o / o,"do not sell]

o/o",,No,No,977
111,bing_266,No,o / o,"do not sell]

o/o",,No,No,266
112,biologyonline_406,No,o / o,"do not sell]

o/o",,No,No,406
113,biomedcentral_402,Yes,1,Manage cookies/Do not sell my data|_ 1/1,Do not sell my personal information,Yes,Manage cookies/Do not sell my data,402
114,birchbox_854,No,o / o,"do not sell]

o/o",,No,No,854
115,bissell_608,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,608
116,bitdefender_641,No,o / o,"do not sell]

o/o",,No,No,641
117,bizjournals_1025,No,o / o,"do not sell]

o/o",,No,No,1025
118,bizrate_312,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Ad opt out/Do Not Sell My Personal Information,312
119,bkstr_259,Yes,1,"Do Not Sell My Info -CA only,

""1",California residents: do not sell my info,Yes,Do Not Sell My Info -CA only,259
120,blackboard_880,Yes,1,Do Not Sell My Pl val,Do not sell my personal information,Yes,Do Not Sell My Pl ,880
121,bloomberg_1018,Yes,1,"do not sell]

""1",California residents: do not sell my info,No,Do not sell my info (California),1018
122,bloomingdales_372,Yes,1,ell or Share My Personal Information| 1/1,Do not sell or share my personal information,Yes,Do not sell or share my personal information,372
123,bluenile_712,No,o / o,"do not sell]

o/o",,No,cannot automate,712
124,bmwusa_816,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,816
125,boatshop24_833,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,833
126,boattrader_289,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,289
127,boeing_783,No,o / o,"do not sell]

o/o",,No,No,783
128,boingboing_681,No,o / o,"do not sell]

o/o",,No,No,681
129,boldsky_867,No,o / o,"do not sell]

o/o",,No,No,867
130,bonappetit_16,No,o / o,"do not sell]

o/o",,No,No,16
131,bookbub_250,No,o / o,"do not sell]

o/o",,No,No,250
132,bookdepository_249,No,o / o,"do not sell]

o/o",,No,No,249
133,bookfinder_320,No,o / o,"do not sell]

o/o",,No,No,320
134,booking_567,No,o / o,"do not sell]

o/o",,No,No,567
135,bookingbuddy_568,No,o / o,"do not sell]

o/o",,No,No,568
136,bookoo_292,No,o / o,"do not sell]

o/o",,No,No,292
137,bosch-home_604,No,o / o,"do not sell]

o/o",,No,No,604
138,brainpop_949,Check,2-Feb,"do not sell]

2/2",Do not sell my personal information,No,Do Not Sell My Personal Information,949
139,brastop_732,No,o / o,"do not sell]

o/o",,No,No,732
140,bravissimo_736,No,o / o,"do not sell]

o/o",,No,No,736
141,breitbart_145,No,o / o,"do not sell]

o/o",,No,No,145
142,britishairways_547,No,o / o,"do not sell]

o/o",,No,No,547
143,broadcom_637,No,o / o,"do not sell]

o/o",,No,No,637
144,broadinstitute_408,No,o / o,"do not sell]

o/o",,No,No,408
145,broadway_998,No,o / o,"do not sell]

o/o",,No,No,998
146,burlington_378,Check,2-Feb,Do Not Sell My Personal information| 2/2,Do not sell my personal information,Yes,Do Not Sell My Personal information,378
147,business-standard_1034,No,o / o,"do not sell]

o/o",,No,No,1034
148,businessinsider_1016,Yes,1,"do not sell]

""1",California residents: do not sell my info,No,CA Do Not Sell My info,1016
149,cabelas_368,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,368
150,cafeastrolohy_385,No,o / o,"do not sell]

o/o",,No,No,385
151,calculatorsoup_477,No,o / o,"do not sell]

o/o",,No,No,477
152,calibre_253,Check,,"ot sell

o/o",,Yes,No,253
153,calorieking_58,No,o / o,"do not sell]

o/o",,No,No,58
154,cambridge_222,No,o / o,"do not sell]

o/o",,No,No,222
155,capitalone_1039,No,o / o,"do not sell]

o/o",,No,No,1039
156,caranddriver_794,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,794
157,careerbuilder_925,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,925
158,carfax_799,No,o / o,"do not sell]

o/o",,No,No,799
159,cargurus_792,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,792
160,carmax_796,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,796
161,cars_795,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,795
162,carsforsale_797,No,o / o,"do not sell]

o/o",,No,No,797
163,carwale_802,No,o / o,"do not sell]

o/o",,No,No,802
164,cas_422,No,o / o,"do not sell]

o/o",,No,No,422
165,cavsnation_482,No,o / o,"do not sell]

o/o",,No,No,482
166,cbssports_505,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,DO NOT SELL MY PERSONAL INFORMATION,505
167,cdc_70,No,o / o,"do not sell]

o/o",,No,No,70
168,cdnetworks_515,No,o / o,"do not sell]

o/o",,No,No,515
169,cdw_613,Yes,1,sonal Information - Currently Sharing] 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information - Currently sharing,613
170,cell_404,No,o / o,"do not sell]

o/o",,No,No,404
171,cengage_261,Yes,1,DO NOTSELL val,Do not sell my personal information,Yes,DO NOT SELL,261
172,cesarsway_209,No,o / o,"do not sell]

o/o",,No,No,209
173,chase_1035,No,o / o,"do not sell]

o/o",,No,No,1035
174,chase_1053,No,o / o,"do not sell]

o/o",,No,No,1053
175,cheapoair,No,o / o,"do not sell]

o/o",,No,No,cheapoair
176,chegg_233,Yes,1,"DO NOTSELL MY INFO| ""1",Do not sell my personal information,Yes,DO NOTSELL MY INFO,233
177,chegg_892,Yes,1,"DO NOTSELL MY INFO| ""1",Do not sell my personal information,Yes,DO NOTSELL MY INFO,892
178,chevrolet_810,Yes,1,"do not sell]

""1",,No,California Residents: Do Not Sell My Personal Information,810
179,chewy_196,No,o / o,"do not sell]

o/o",,No,No,196
180,choicehotels,Yes,1,Do Not Sell My Personal Information| 1/1,California residents: do not sell my info,Yes,Do Not Sell My Personal Information,choicehotels
181,cigna_1071,No,o / o,"do not sell]

o/o",,No,No,1071
182,cinemark_991,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,991
183,cirquedusoleil_999,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Personal Information,999
184,citi_1041,No,o / o,"do not sell]

o/o",,No,No,1041
185,citi_1046,No,o / o,"do not sell]

o/o",,No,No,1046
186,classiccars_803,No,o / o,"do not sell]

o/o",,No,No,803
187,claz_290,No,o / o,"do not sell]

o/o",,No,No,290
188,cleartrip,No,o / o,"do not sell]

o/o",,No,No,cleartrip
189,clinicaltrials_82,No,o / o,"do not sell]

o/o",,No,No,82
190,cloudflare_508,No,o / o,"do not sell]

o/o",,No,No,508
191,clutchpoints_481,No,o / o,"do not sell]

o/o",,No,No,481
192,cnbc_1022,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,1022
193,cnet_664,Yes,1,ell or Share My Personal Information| 1/1,Do not sell or share my personal information,Yes,Do not sell or share my personal information,664
194,cnn_1021,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,1021
195,cnn_157,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,157
196,cnn_958,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,958
197,cntraveler,No,o / o,"do not sell]

o/o",,No,No,cntraveler
198,co_849,No,o / o,"do not sell]

o/o",,No,No,849
199,co_928,No,o / o,"do not sell]

o/o",,No,No,928
200,co_996,No,o / o,"do not sell]

o/o",,No,No,996
201,coach_717,Yes,1,"do not sell]

""1",Do not sell my personal information,No,DO NOT SELL MY PERSONAL INFO,717
202,codecademy_944,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,944
203,colehaan_766,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do not sell my info,766
204,collegeboard_1080,No,o / o,"do not sell]

o/o",,No,No,1080
205,collegeboard_890,No,o / o,"do not sell]

o/o",,No,No,890
206,collegenet_1088,No,o / o,"do not sell]

o/o",,No,No,1088
207,comodo_642,No,o / o,"do not sell]

o/o",,No,No,642
208,comparethemarket_324,No,o / o,"do not sell]

o/o",,No,No,324
209,comparison_1077,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,1077
210,competitor_496,No,o / o,"do not sell]

o/o",,No,No,496
211,computerhope_617,No,o / o,"do not sell]

o/o",,No,No,617
212,connection_614,No,o / o,"do not sell]

o/o",,No,No,614
213,consumerreports_675,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,675
214,convertunits_467,No,o / o,"do not sell]

o/o",,No,No,467
215,cookpad_10,No,o / o,"do not sell]

o/o",,No,No,10
216,copart_806,No,o / o,"do not sell]

o/o",,No,No,806
217,coroflot_913,No,o / o,"do not sell]

o/o",,No,No,913
218,corotos_287,No,o / o,"do not sell]

o/o",,No,No,287
219,cosmopolitan_858,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,858
220,countryliving_124,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,DO NOT SELL MY PERSONAL INFORMATION,124
221,coupons_298,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,298
222,coursera_886,No,o / o,"do not sell]

o/o",,No,No,886
223,coursera_941,No,o / o,"do not sell]

o/o",,No,No,941
224,craftsy_132,Yes,1,Do Not Sell My Info| val,Do not sell my personal information,Yes,Do Not Sell My Info,132
225,craigslist_282,No,o / o,"do not sell]

o/o",,No,No,282
226,craigslist_348,No,o / o,"do not sell]

o/o",,No,No,348
227,creativemarket_1014,No,o / o,"do not sell]

o/o",,No,No,1014
228,credoaction_175,No,o / o,"do not sell]

o/o",,No,No,175
229,cshlp_413,No,o / o,"do not sell]

o/o",,No,No,413
230,curbed_126,Yes,1,"DO NOTSELL MY INFO| ""1",Do not sell my personal information,Yes,DO NOTSELL MY INFO,126
231,curejoy_73,No,o / o,"do not sell]

o/o",,No,No,73
232,cvs_77,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Personal Information,77
233,cycletrader_830,No,o / o,"do not sell]

o/o",,No,cannot automate,830
234,d2l_454,Yes,1,Do Not Sell My Pl val,Do not sell my personal information,Yes,Do Not Sell My Pl,454
235,dailycaller_148,Yes,1,CA: Do Not Sell My Info| val,California residents: do not sell my info,Yes,CA: Do Not Sell My Info,148
236,dailykos_164,Yes,1,Do Not Sell My Info| val,Do not sell my personal information,Yes,Do Not Sell My Info,164
237,dailymail_178,Yes,1,Do not sell my info val,Do not sell my personal information,Yes,Do not sell my info,178
238,dailymotion_970,No,o / o,"do not sell]

o/o",,No,No,970
239,dailywire_142,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,142
240,dallascowboys_489,No,o / o,"do not sell]

o/o",,No,No,489
241,dealnews_304,No,o / o,"do not sell]

o/o",,No,No,304
242,dealspotr_333,No,o / o,"do not sell]

o/o",,No,No,333
243,deezer_983,No,o / o,"do not sell]

o/o",,No,No,983
244,delish_12,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,DO NOT SELL MY PERSONAL INFO,12
245,delivery_20,No,o / o,"do not sell]

o/o",,No,No,20
246,delivery_28,No,o / o,"do not sell]

o/o",,No,No,28
247,delonghi_607,No,o / o,"do not sell]

o/o",,No,No,607
248,delta_540,No,o / o,"do not sell]

o/o",,No,No,540
249,depositphotos_1012,No,o / o,"do not sell]

o/o",,No,No,1012
250,designcrowd_909,No,o / o,"do not sell]

o/o",,No,No,909
251,deviantart_96,No,o / o,"do not sell]

o/o",,No,No,96
252,deviantart_968,No,o / o,"do not sell]

o/o",,No,No,968
253,dice_904,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,904
254,dickssportinggoods_367,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,367
255,digitaltrends_670,Yes,1,Do Not Sell or Share My Information| 1/1,Do not sell my personal information,Yes,Do Not Sell or Share My Information,670
256,dillards_371,No,o / o,"do not sell]

o/o",,No,No,371
257,discogs_979,No,o / o,"do not sell]

o/o",,No,No,979
258,discover_1044,No,o / o,"do not sell]

o/o",,No,No,1044
259,diy_350,No,o / o,"do not sell]

o/o",,No,No,350
260,doba_338,No,o / o,"do not sell]

o/o",,No,No,338
261,dodge_822,No,o / o,‘ersonal Info(Open in anew window)| 0/0,Do not sell my personal information,Yes,Do Not Sell my personal info (Open in a newe window),822
262,dogbreedinfo_211,No,o / o,"do not sell]

o/o",,No,No,211
263,dogster,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do not sell my information,dogster
264,dogtime_203,No,o / o,"do not sell]

o/o",,No,No,203
265,doityourself_948,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,948
266,dollardays_334,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,334
267,dominos_35,Yes,1,"do not sell]

""1",Do not sell or share my personal information,No,Do not sell/share my info,35
268,doordash_22,No,o / o,"do not sell]

o/o",,No,No,22
269,dpreview_678,No,o / o,"do not sell]

o/o",,No,No,678
270,dreamstime_1010,No,o / o,"do not sell]

o/o",,No,No,1010
271,dribble_900,No,o / o,"do not sell]

o/o",,No,No,900
272,drugs_75,No,o / o,"do not sell]

o/o",,No,No,75
273,dsw_759,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,759
274,dx_331,No,o / o,"do not sell]

o/o",,No,No,331
275,dyson_601,No,o / o,"do not sell]

o/o",,No,No,601
276,earthsky_396,No,o / o,"do not sell]

o/o",,No,No,396
277,eater_7,Yes,1,Do Not Sell My Personal Info| val,Do not sell my personal information,Yes,Do Not Sell My Personal Info,7
278,ebay_344,Yes,1,Do not sell my personal information| 1/1,Do not sell my personal information,Yes,Do not sell my personal information,344
279,ebookfriendly_243,No,o / o,"do not sell]

o/o",,No,No,243
280,economist_1029,Yes,1,"do not sell]

""1",Do not sell my personal information,No,Do Not Sell My Personal Information,1029
281,ed_1081,No,o / o,"do not sell]

o/o",,No,No,1081
282,edmunds_791,Yes,1,ell or Share My Personal Information| 1/1,Do not sell or share my personal information,Yes,Do Not Sell or Share My Information,791
283,education_894,No,o / o,"do not sell]

o/o",,No,No,894
284,edx_942,No,o / o,"do not sell]

o/o",,No,No,942
285,ehealthinsurance_1079,No,o / o,"do not sell]

o/o",,No,No,1079
286,eia_431,No,o / o,"do not sell]

o/o",,No,No,431
287,elclasificado_293,Yes,1,Do Not Sell My Information| val,Do not sell my personal information,Yes,Do Not Sell My Information,293
288,elle_841,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,DO NOT SELL MY PERSONAL INFO,841
289,elle_860,Yes,1,TSELL MY PERSONAL INFORMATION| 1/1,Do not sell my personal information,Yes,DO NOT SELL MY PERSONAL INFO,860
290,elsevier_256,No,o / o,"do not sell]

o/o",,No,No,256
291,emirates_545,No,o / o,"do not sell]

o/o",,No,No,545
292,empowherr_92,No,o / o,"do not sell]

o/o",,No,No,92
293,energy_429,No,o / o,"do not sell]

o/o",,No,No,429
294,energystar_458,No,o / o,"do not sell]

o/o",,No,No,458
295,engadget_669,No,o / o,"do not sell]

o/o",,No,No,669
296,engineering_459,No,o / o,"do not sell]

o/o",,No,No,459
297,enotes_893,No,o / o,"do not sell]

o/o",,No,No,893
298,entrepreneur_1023,No,o / o,"do not sell]

o/o",,No,No,1023
299,epa_417,No,o / o,"do not sell]

o/o",,No,No,417
300,epa_427,No,o / o,"do not sell]

o/o",,No,No,427
301,epicurious_6,No,o / o,"do not sell]

o/o",,No,No,6
302,epson_626,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,626
303,equinix_514,No,o / o,"do not sell]

o/o",,No,No,514
304,esa_390,No,o / o,"do not sell]

o/o",,No,No,390
305,esa_455,No,o / o,"do not sell]

o/o",,No,No,455
306,eset_635,No,o / o,"do not sell]

o/o",,No,No,635
307,esources_340,No,o / o,"do not sell]

o/o",,No,No,340
308,espn_499,Yes,1,Do Not Sell My Info| val,Do not sell my personal information,Yes,Do Not Sell My Info,499
309,esurance_1078,No,o / o,"do not sell]

o/o",,No,No,1078
310,etix_1003,No,o / o,"do not sell]

o/o",,No,No,1003
311,etsy_128,No,o / o,"do not sell]

o/o",,No,No,128
312,etsy_354,No,o / o,"do not sell]

o/o",,No,No,354
313,etsy_95,No,o / o,"do not sell]

o/o",,No,No,95
314,etsy_964,No,o / o,"do not sell]

o/o",,No,No,964
315,eventbrite_988,No,o / o,"do not sell]

o/o",,No,No,988
316,everrnote_660,No,o / o,"do not sell]

o/o",,No,No,660
317,everydayhealth_74,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,74
318,everydayhealth_87,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,87
319,ewg_430,No,o / o,"do not sell]

o/o",,No,No,430
320,expasy_405,No,o / o,"do not sell]

o/o",,No,No,405
321,expatriates_288,No,o / o,"do not sell]

o/o",,No,No,288
322,express-scripts_81,No,o / o,"do not sell]

o/o",,No,No,81
323,eyebuydirect_772,No,o / o,"do not sell]

o/o",,No,No,772
324,eyebuydirect_774,No,o / o,"do not sell]

o/o",,No,No,774
325,facebook_264,No,o / o,"do not sell]

o/o",,No,No,264
326,famousfootwear_762,No,o / o,at Sell My Personal info CAResidents| 0/0,Do not sell my personal information,Yes,Do not sell my personal information,762
327,fandango_986,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,986
328,farmers_1074,No,o / o,tal Informationopens in new window| 0/0,Do not sell or share my personal information,Yes,Do Not Sell or Share My Information,1074
329,fashionbeans_859,No,o / o,"do not sell]

o/o",,No,No,859
330,fastcompany_1031,Yes,1,Do Not Sell My Datal val,Do not sell my personal information,Yes,Do Not Sell My Data,1031
331,fastweb_1087,Yes,1,Do Not Sell My Personal Information| 1/1,Do not sell my personal information,Yes,Do Not Sell My Personal Information,1087
332,fidelity_1060,No,o / o,"do not sell]

o/o",,No,No,1060
