,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Confirm Presence,Text,Index
55,55,184,glasses_775,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,775
56,56,189,curbed_126,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,126
57,57,191,treehugger_116,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,116
58,58,192,victoriassecret_721,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,721
59,59,193,retailmenot_296,1,Yes,Do Not Sell My Personal infomation| 1/1,Yes,Yes,Do not sell my personal information,296
60,60,203,groupon_294,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,294
61,61,211,astrology_382,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,382
62,62,214,colehaan_766,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,766
63,63,215,active_493,13,Yes,Do Not Sell My Personal information| 1/3,Yes,Yes,Do not sell my personal information,493
64,64,216,com_166,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,166
65,65,217,com_482,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,482
66,66,226,avast_631,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,631
67,67,233,com_217,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,217
68,68,238,ray-ban_768,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,768
69,69,239,com_1027,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1027
70,70,242,bizrate_312,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,312
71,71,244,zulily_300,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,300
72,72,246,politico_160,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,160
73,73,247,boatshop24_833,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,833
74,74,250,overstock_223,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,223
75,75,252,shop_321,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,321
76,76,255,abt_603,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,603
77,77,272,sunglasshut_769,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,769
78,78,273,redbubble_97,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,97
79,79,275,marketwatch_1058,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1058
80,80,278,truecar_798,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,798
81,81,285,groupon_356,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,356
82,82,290,haggar_755,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,755
83,83,292,webqc_421,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,421
84,84,297,lowes_359,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,359
85,85,299,cinemark_991,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,991
86,86,304,com_253,,Check,"ot sell]

o/o",Yes,No,,253
87,87,306,oracle_656,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,656
88,88,308,net_358,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,358
89,89,318,boattrader_834,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,834
90,90,319,trycaviar_24,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,24
91,91,322,livecareer_934,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,934
92,92,332,airfarewatchdog_564,,Check,,Yes,No,,564
93,93,335,airforce_786,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,786
94,94,345,ebay_344,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,344
95,95,346,kohls_364,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,364
96,96,349,ipsy_855,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,855
97,97,353,racked_876,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,876
98,98,355,fossil_709,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,709
99,99,356,nydailynews_180,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,180
100,100,359,chegg_233,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,233
101,101,361,ihg_572,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,572
102,102,362,dailykos_164,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,164
103,103,363,boattrader_289,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,289
104,104,369,microcenter_622,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,622
105,105,384,vw_824,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,824
106,106,385,jetblue_542,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,542
107,107,387,com_632,1,Yes,3ell My Personal Information request] 1/1,Yes,Yes,Do not sell my personal information,632
108,108,388,norton_629,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information,629
109,109,390,tomsguide_673,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,673
110,110,391,racked_845,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,845
111,111,397,com_93,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,93
112,112,399,seriouseats_5,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,5
113,113,400,snagajob_924,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,924
114,114,409,lufthansa_550,1,Yes,CCPA / Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,550
115,115,413,tomshardware_610,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,610
116,116,414,scholastic_235,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,235
117,117,416,espn_499,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,499
118,118,424,hsn_374,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,374
119,119,425,webqc_420,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,420
120,120,435,digitaltrends_670,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,670
121,121,436,thecarconnection_801,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,801
122,122,447,com_325,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,325
123,123,448,hm_687,1,Yes,Â© Not Sell Or Share My Personal Data| 1/1,Yes,Yes,Do not sell or share my personal information,687
124,124,449,bloomingdales_372,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,372
125,125,453,berries_31,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,31
126,126,456,sbnation_507,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,507
127,127,457,petfinder_205,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,205
128,128,459,com_148,1,Yes,CA: Do Not Sell My Info| Wi,Yes,Yes,California residents: do not sell my info,148
129,129,460,thrillist_8,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,8
130,130,464,lg_594,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,594
131,131,467,panasonic_596,1,Yes,Do Not Sell My Datal Wi,Yes,Yes,Do not sell my personal information,596
132,132,470,cnet_664,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,664
133,133,474,allrecipes_1089,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1089
134,134,476,com_301,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,301
135,135,482,samsung_597,1,Yes,ell or Share My Personal information| 1/1,Yes,Yes,Do not sell or share my personal information,597
136,136,488,jdpower_800,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,800
137,137,489,geappliances_599,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,599
138,138,505,southernliving_591,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,591
139,139,510,cnbc_1022,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1022
140,140,513,thenorthface_707,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,707
141,141,519,nflshop_490,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,490
142,142,532,toptenreviews_677,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,677
143,143,535,eset_635,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,635
144,144,545,salliemae_1086,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,1086
145,145,546,jimmyjohns_43,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,43
146,146,549,pandora_703,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,703
147,147,550,lifeandstylemag_872,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,872
148,148,563,eater_7,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,7
149,149,564,cargurus_792,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,792
150,150,568,yachtworld_836,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,836
151,151,573,biomedcentral_402,1,Yes,Manage cookies/Do not sell my data|_ 1/1,Yes,Yes,Do not sell my personal information,402
152,152,580,net_311,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,311
153,153,589,careerbuilder_925,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,925
154,154,592,everydayhealth_87,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,87
155,155,593,hotwire_556,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,556
156,156,597,com_1026,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1026
157,157,604,weightwatchers_54,1,Yes,Do Not Sell My Personal Info| Wi,Yes,Yes,Do not sell my personal information,54
158,158,607,officedepot_135,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,135
159,159,616,ulta_838,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,838
160,160,620,jcpenney_365,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,365
161,161,622,1stdibs_98,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,98
162,162,623,consumerreports_675,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,675
163,163,624,nytimes_159,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,159
164,164,631,sunsigns_395,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,395
165,165,632,livenation_993,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,993
166,166,636,homedepot_353,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,353
167,167,639,kickstarter_186,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,186
168,168,640,staples_136,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,136
169,169,641,kayak_552,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,552
170,170,643,vox_680,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,680
171,171,645,hilton_571,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,571
172,172,650,netflix_959,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,959
173,173,655,doordash_22,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,22
174,174,663,com_255,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,255
175,175,669,forbes_1054,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1054
176,176,672,governmentjobs_933,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,933
177,177,673,d2l_454,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information,454
178,178,674,timeout_580,1,Yes,Do not sell my information| Wi,Yes,Yes,Do not sell my personal information,580
179,179,675,org_1077,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1077
180,180,682,citi_1046,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1046
181,181,684,zulily_702,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,702
182,182,685,subaru_823,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,823
183,183,687,tomshardware_665,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,665
184,184,691,codecademy_944,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,944
185,185,694,statefarm_1063,2-Feb,Check,onal Information (CA residents only)|_ 2/2,Yes,Yes,Do not sell or share my personal information(CA residents only),1063
186,186,696,cengage_261,1,Yes,DO NOTSELL Wi,Yes,Yes,Do not sell my personal information,261
187,187,699,audiusa_820,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,820
188,188,701,go_163,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,163
189,189,704,cars_795,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,795
190,190,714,backyardchickens_214,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,214
191,191,715,avg_628,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,628
192,192,719,oreilly_258,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,258
193,193,722,org_176,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,176
194,194,723,webmd_66,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,66
195,195,724,worldmarket_111,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,111
196,196,725,blackboard_880,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information,880
197,197,726,3wishes_733,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,733
198,198,731,angi_274,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,274
199,199,734,thrillist_579,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,579
200,200,735,rxlist_78,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,78
201,201,738,horoscope_380,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,380
202,202,739,bestbuy_593,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,593
203,203,744,ask_526,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,526
204,204,745,choicehotels_576,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,576
205,205,762,craftsy_132,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,132
206,206,770,com_293,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,293
207,207,774,kbb_790,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,790
208,208,775,dailymail_178,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,178
209,209,778,adobe_647,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,647
210,210,780,imore_671,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,671
211,211,788,myrecipes_9,1,Yes,California Do Not Sell] Wi,Yes,Yes,California residents: do not sell my info,9
212,212,792,porsche_821,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,821
213,213,793,com_737,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,737
214,214,794,homeadvisor_275,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,275
215,215,798,yandy_722,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,722
216,216,800,travelandleisure_582,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,582
217,217,818,skyscanner_555,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,555
218,218,820,bestbuy_351,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,351
219,219,827,theblaze_150,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,150
220,220,834,cabelas_368,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,368
221,221,836,progressive_1066,1,Yes,onal Information (CA Residents Only)| 1/1,Yes,Yes,Do not sell or share my personal information(CA residents only),1066
222,222,837,maccosmetics_844,1,Yes,NALINFORMATION / TARGETED ADS| 1/1,Yes,Yes,Do not sell or share my personal information,844
223,223,839,avira_636,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information,636
224,224,843,olivegarden_41,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,41
225,225,847,nissanusa_812,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,812
226,226,850,shape_88,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,88
227,227,862,gofundme_187,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,187
228,228,863,ralphlauren_704,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,704
229,229,872,pursuitboats_835,,Check,"ot sell]

o/o",Yes,No,,835
230,230,880,vistaprint_137,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,137
231,231,882,theatlantic_167,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,167
232,232,883,chegg_892,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,892
233,233,886,huffpost_158,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,158
234,234,890,venus_723,1,Yes,\-DO NOTSELL MY PERSONAL INFO| 1/1,Yes,Yes,Do not sell my personal information,723
235,235,896,biglots_110,1,Yes,Customers Only: Do Not Sell My Info| 1/1,Yes,Yes,Do not sell my personal information,110
236,236,901,everydayhealth_74,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,74
237,237,904,underarmour_758,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,758
238,238,905,forbes_1015,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1015
239,239,911,carmax_796,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,796
240,240,913,rakuten_299,1,Yes,Information / Personal Data Opt-out] 1/1,Yes,Yes,Do not sell or share my personal information,299
241,241,918,seamless_19,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,19
242,242,920,com_481,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,481
243,243,921,citi_1041,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1041
