,Unnamed: 0,Index,2023-02-20_Check,2023-02-20_filename,2023-02-20_Text,2023-02-20_Presence confirm,2023-01-30_Check,2023-01-30_filename,2023-01-30_Text,2023-01-30_Presence confirm,2023-01-05_Check,2023-01-05_filename,2023-01-05_Text,2023-01-05_Presence confirm,2023-01-17_Check,2023-01-17_filename,2023-01-17_Text,2023-01-17_Presence confirm,2023-02-10_Check,2023-02-10_filename,2023-02-10_Text,2023-02-10_Presence confirm,2023-02-07_Check,2023-02-07_filename,2023-02-07_Text,2023-02-07_Presence confirm,2023-01-13_Check,2023-01-13_filename,2023-01-13_Text,2023-01-13_Presence confirm
41,41,41,True,olivegarden_41,Do not sell or share my personal information,Yes,True,olivegarden_41,Do not sell or share my personal information,Yes,True,olivegarden_41,Do not sell or share my personal information,Yes,True,olivegarden_41,Do not sell or share my personal information,Yes,True,,,,True,olivegarden_41,Do not sell or share my personal information,Yes,True,olivegarden_41,Do not sell or share my personal information,Yes
44,44,44,True,tacobell_44,Do not sell or share my personal information,Yes,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
46,46,46,True,flashscore_46,Do not sell my personal information,Yes,True,,,,True,flashscore_46,Do not sell my personal information,Yes,True,flashscore_46,Do not sell my personal information,Yes,True,flashscore_46,Do not sell my personal information,Yes,True,flashscore_46,Do not sell my personal information,Yes,True,flashscore_46,Do not sell my personal information,Yes
51,51,51,True,,,,True,,,,True,livestrong_51,Do not sell my personal information,Yes,True,livestrong_51,Do not sell my personal information,Yes,True,,,,True,,,,True,livestrong_51,Do not sell my personal information,Yes
56,56,56,True,,,,True,,,,True,nutrisystem_56,Do not sell my personal information,Yes,True,nutrisystem_56,Do not sell my personal information,Yes,True,nutrisystem_56,Do not sell my personal information,Yes,True,nutrisystem_56,Do not sell my personal information,Yes,True,nutrisystem_56,Do not sell my personal information,Yes
66,66,66,True,webmd_66,Do not sell my personal information,Yes,True,,,,True,webmd_66,Do not sell my personal information,Yes,True,webmd_66,Do not sell my personal information,Yes,True,webmd_66,Do not sell my personal information,Yes,True,webmd_66,Do not sell my personal information,Yes,True,webmd_66,Do not sell my personal information,Yes
71,71,71,True,medscape_71,Do not sell my personal information,Yes,True,,,,True,medscape_71,Do not sell my personal information,Yes,True,medscape_71,Do not sell my personal information,Yes,True,medscape_71,Do not sell my personal information,Yes,True,medscape_71,Do not sell my personal information,Yes,True,medscape_71,Do not sell my personal information,Yes
73,73,73,True,com_73,Do not sell my personal information,Yes,True,,,,True,com_73,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,,,
75,75,75,True,,,,True,,,,True,drugs_75,Do not sell my personal information,Yes,True,drugs_75,Do not sell my personal information,Yes,True,drugs_75,Do not sell my personal information,Yes,True,,,,True,drugs_75,Do not sell my personal information,Yes
76,76,76,True,walgreens_76,Do not sell or share my personal information,Yes,True,,,,True,,,,True,walgreens_76,Do not sell or share my personal information,Yes,True,walgreens_76,Do not sell or share my personal information,Yes,True,walgreens_76,Do not sell or share my personal information,Yes,True,,,
86,86,86,True,mindbodygreen_86,Do not sell my personal information,Yes,True,,,,True,mindbodygreen_86,Do not sell my personal information,Yes,True,mindbodygreen_86,Do not sell my personal information,Yes,True,mindbodygreen_86,Do not sell or share my personal information,Yes,True,mindbodygreen_86,Do not sell or share my personal information,Yes,True,mindbodygreen_86,Do not sell my personal information,Yes
88,88,88,True,shape_88,Do not sell my personal information,Yes,True,shape_88,Do not sell my personal information,Yes,True,shape_88,Do not sell my personal information,Yes,True,shape_88,Do not sell my personal information,Yes,True,,,,True,,,,True,shape_88,Do not sell my personal information,Yes
90,90,90,True,scarymommy_90,,No,True,,,,True,,,,True,scarymommy_90,,No,True,,,,True,scarymommy_90,,No,True,,,
93,93,93,True,com_93,Do not sell or share my personal information,Yes,True,com_93,Do not sell or share my personal information,Yes,True,,,,True,com_93,Do not sell or share my personal information,Yes,True,com_93,Do not sell or share my personal information,Yes,True,com_93,Do not sell or share my personal information,Yes,True,com_93,Do not sell or share my personal information,Yes
95,95,95,True,etsy_95,Do not sell my personal information,Yes,True,,,,True,etsy_95,Do not sell my personal information,Yes,True,etsy_95,Do not sell my personal information,Yes,True,etsy_95,Do not sell my personal information,Yes,True,etsy_95,Do not sell my personal information,Yes,True,etsy_95,Do not sell my personal information,Yes
96,96,96,True,deviantart_96,Do not sell or share my personal information,Yes,True,,,,True,deviantart_96,Do not sell my personal information,Yes,True,deviantart_96,Do not sell my personal information,Yes,True,deviantart_96,Do not sell or share my personal information,Yes,True,deviantart_96,Do not sell or share my personal information,Yes,True,deviantart_96,Do not sell my personal information,Yes
97,97,97,False,,,,True,redbubble_97,Do not sell my personal information,Yes,True,redbubble_97,Do not sell my personal information,Yes,True,redbubble_97,Do not sell my personal information,Yes,True,redbubble_97,Do not sell my personal information,Yes,True,redbubble_97,Do not sell my personal information,Yes,True,redbubble_97,Do not sell my personal information,Yes
99,99,99,True,com_99,Do not sell my personal information,Yes,True,,,,True,com_99,Do not sell my personal information,Yes,True,com_99,Do not sell my personal information,Yes,True,com_99,Do not sell my personal information,Yes,True,com_99,Do not sell my personal information,Yes,True,com_99,Do not sell my personal information,Yes
114,114,114,True,,,,True,,,,True,anthropologie_114,Do not sell my personal information,Yes,True,anthropologie_114,Do not sell my personal information,Yes,True,anthropologie_114,Do not sell my personal information,Yes,True,anthropologie_114,Do not sell my personal information,Yes,True,anthropologie_114,Do not sell my personal information,Yes
115,115,115,True,gardeningknowhow_115,Do not sell or share my personal information,Yes,True,gardeningknowhow_115,Do not sell or share my personal information,Yes,True,,,,True,gardeningknowhow_115,Do not sell or share my personal information,Yes,True,gardeningknowhow_115,Do not sell or share my personal information,Yes,True,gardeningknowhow_115,Do not sell or share my personal information,Yes,True,gardeningknowhow_115,Do not sell or share my personal information,Yes
116,116,116,True,treehugger_116,Do not sell my personal information,Yes,True,treehugger_116,Do not sell my personal information,Yes,True,treehugger_116,Do not sell my personal information,Yes,True,treehugger_116,Do not sell my personal information,Yes,True,,,,True,,,,True,treehugger_116,Do not sell my personal information,Yes
121,121,121,True,,,,True,,,,True,,,,True,,,,True,apartmenttherapy_121,Do not sell my personal information,Yes,True,,,,True,,,
122,122,122,True,,,,True,,,,True,urbanoutfitters_122,Do not sell my personal information,Yes,True,urbanoutfitters_122,Do not sell my personal information,Yes,True,urbanoutfitters_122,Do not sell my personal information,Yes,True,urbanoutfitters_122,Do not sell my personal information,Yes,True,urbanoutfitters_122,Do not sell my personal information,Yes
125,125,125,True,bhg_125,Do not sell my personal information,Yes,True,bhg_125,Do not sell my personal information,Yes,True,bhg_125,Do not sell my personal information,Yes,True,bhg_125,Do not sell my personal information,Yes,True,,,,True,,,,True,bhg_125,Do not sell my personal information,Yes
128,128,128,True,etsy_128,Do not sell my personal information,Yes,True,,,,True,etsy_128,Do not sell my personal information,Yes,True,etsy_128,Do not sell my personal information,Yes,True,etsy_128,Do not sell my personal information,Yes,True,etsy_128,Do not sell my personal information,Yes,True,etsy_128,Do not sell my personal information,Yes
134,134,134,True,,,,True,,,,True,livinglocurto_134,Do not sell or share my personal information,Yes,True,livinglocurto_134,Do not sell or share my personal information,Yes,True,,,,True,,,,True,livinglocurto_134,Do not sell or share my personal information,Yes
145,145,145,True,breitbart_145,Do not sell my personal information,Yes,True,,,,True,breitbart_145,Do not sell my personal information,Yes,True,breitbart_145,Do not sell my personal information,Yes,True,breitbart_145,Do not sell my personal information,Yes,True,breitbart_145,Do not sell my personal information,Yes,True,breitbart_145,Do not sell my personal information,Yes
146,146,146,True,wsj_146,Do not sell or share my personal information,Yes,True,,,,True,wsj_146,Do not sell or share my personal information,Yes,True,wsj_146,Do not sell or share my personal information,Yes,True,wsj_146,Do not sell or share my personal information,Yes,True,wsj_146,Do not sell or share my personal information,Yes,True,wsj_146,Do not sell or share my personal information,Yes
149,149,149,True,com_149,Do not sell or share my personal information,Yes,True,,,,True,com_149,Do not sell or share my personal information,Yes,True,com_149,Do not sell my personal information,Yes,True,com_149,Do not sell or share my personal information,Yes,True,com_149,Do not sell or share my personal information,Yes,True,com_149,Do not sell or share my personal information,Yes
156,156,156,True,washingtonexaminer_156,Do not sell or share my personal information,Yes,True,,,,True,washingtonexaminer_156,Do not sell my personal information,Yes,True,washingtonexaminer_156,Do not sell my personal information,Yes,True,washingtonexaminer_156,Do not sell or share my personal information,Yes,True,washingtonexaminer_156,Do not sell or share my personal information,Yes,True,,,
157,157,157,True,,,,True,,,,True,cnn_157,Do not sell or share my personal information,Yes,True,cnn_157,Do not sell or share my personal information,Yes,True,,,,True,,,,True,cnn_157,Do not sell or share my personal information,Yes
159,159,159,True,,,,True,,,,True,nytimes_159,Do not sell or share my personal information,Yes,True,nytimes_159,Do not sell or share my personal information,Yes,True,,,,True,,,,True,nytimes_159,Do not sell or share my personal information,Yes
161,161,161,True,com_161,Do not sell or share my personal information,Yes,True,,,,True,com_161,Do not sell or share my personal information,Yes,True,com_161,Do not sell or share my personal information,Yes,True,com_161,Do not sell or share my personal information,Yes,True,com_161,Do not sell or share my personal information,Yes,True,com_161,Do not sell or share my personal information,Yes
168,168,168,True,rawstory_168,Do not sell or share my personal information,Yes,True,,,,True,rawstory_168,Do not sell my personal information,Yes,True,rawstory_168,Do not sell my personal information,Yes,True,rawstory_168,Do not sell or share my personal information,Yes,True,rawstory_168,Do not sell or share my personal information,Yes,True,rawstory_168,Do not sell my personal information,Yes
170,170,170,True,salon_170,Do not sell or share my personal information,Yes,True,,,,True,salon_170,Do not sell my personal information,Yes,True,salon_170,Do not sell my personal information,Yes,True,salon_170,Do not sell or share my personal information,Yes,True,salon_170,Do not sell or share my personal information,Yes,True,salon_170,Do not sell my personal information,Yes
171,171,171,True,,,,True,,,,True,newyorker_171,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,newyorker_171,Do not sell my personal information,Yes
172,172,172,True,thedailybeast_172,Do not sell or share my personal information,Yes,True,,,,True,thedailybeast_172,Do not sell or share my personal information,Yes,True,thedailybeast_172,Do not sell or share my personal information,Yes,True,thedailybeast_172,Do not sell or share my personal information,Yes,True,thedailybeast_172,Do not sell or share my personal information,Yes,True,thedailybeast_172,Do not sell or share my personal information,Yes
173,173,173,True,alternet_173,Do not sell or share my personal information,Yes,True,,,,True,alternet_173,Do not sell my personal information,Yes,True,alternet_173,Do not sell my personal information,Yes,True,alternet_173,Do not sell or share my personal information,Yes,True,alternet_173,Do not sell or share my personal information,Yes,True,alternet_173,Do not sell my personal information,Yes
176,176,176,True,org_176,Do not sell or share my personal information,Yes,True,org_176,Do not sell or share my personal information,Yes,True,,,,True,org_176,Do not sell or share my personal information,Yes,True,org_176,Do not sell or share my personal information,Yes,True,org_176,Do not sell or share my personal information,Yes,True,org_176,Do not sell or share my personal information,Yes
177,177,177,True,,,,True,,,,True,nytimes_177,Do not sell or share my personal information,Yes,True,nytimes_177,Do not sell or share my personal information,Yes,True,,,,True,,,,True,nytimes_177,Do not sell or share my personal information,Yes
180,180,180,True,nydailynews_180,Do not sell or share my personal information,Yes,True,nydailynews_180,Do not sell or share my personal information,Yes,True,,,,True,nydailynews_180,Do not sell or share my personal information,Yes,True,nydailynews_180,Do not sell or share my personal information,Yes,True,nydailynews_180,Do not sell or share my personal information,Yes,True,nydailynews_180,Do not sell or share my personal information,Yes
182,182,182,True,,,,True,,,,True,usatoday_182,Do not sell my personal information,Yes,True,usatoday_182,Do not sell my personal information,Yes,True,,,,True,,,,True,usatoday_182,Do not sell my personal information,Yes
195,195,195,True,,,,True,petco_195,California residents: do not sell my info,Yes,True,,,,True,petco_195,Do not sell my personal information,Yes,True,,,,True,,,,True,petco_195,Do not sell my personal information,Yes
197,197,197,True,1800petmeds_197,Do not sell my personal information,Yes,True,,,,True,1800petmeds_197,Do not sell my personal information,Yes,True,1800petmeds_197,Do not sell my personal information,Yes,True,1800petmeds_197,Do not sell my personal information,Yes,True,1800petmeds_197,Do not sell my personal information,Yes,True,1800petmeds_197,Do not sell my personal information,Yes
206,206,206,True,,,,True,petco_206,Do not sell my personal information,Yes,True,petco_206,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,,,
208,208,208,True,,,,True,,,,True,adoptapet_208,Do not sell my personal information,Yes,True,adoptapet_208,Do not sell my personal information,Yes,True,,,,True,,,,True,adoptapet_208,Do not sell my personal information,Yes
214,214,214,True,backyardchickens_214,Do not sell or share my personal information,Yes,True,backyardchickens_214,Do not sell or share my personal information,Yes,True,,,,True,backyardchickens_214,Do not sell or share my personal information,Yes,True,backyardchickens_214,Do not sell or share my personal information,Yes,True,backyardchickens_214,Do not sell or share my personal information,Yes,True,backyardchickens_214,Do not sell or share my personal information,Yes
217,217,217,True,com_217,Do not sell or share my personal information,Yes,True,com_217,Do not sell or share my personal information,Yes,True,,,,True,com_217,Do not sell or share my personal information,Yes,True,com_217,Do not sell or share my personal information,Yes,True,com_217,Do not sell or share my personal information,Yes,True,com_217,Do not sell or share my personal information,Yes
223,223,223,True,,,,True,,,,True,overstock_223,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,overstock_223,Do not sell my personal information,Yes
224,224,224,False,,,,True,scribd_224,Do not sell or share my personal information,Yes,False,,,,True,scribd_224,Do not sell or share my personal information,Yes,False,,,,True,scribd_224,Do not sell or share my personal information,Yes,True,scribd_224,Do not sell or share my personal information,Yes
225,225,225,True,barnesandnoble_225,Do not sell my personal information,Yes,True,barnesandnoble_225,Do not sell my personal information,Yes,False,,,,False,,,,False,,,,False,,,,True,barnesandnoble_225,Do not sell my personal information,Yes
226,226,226,True,,,,True,,,,True,wattpad_226,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,,,
231,231,231,True,com_231,Do not sell my personal information,Yes,True,,,,True,com_231,Do not sell my personal information,Yes,True,com_231,Do not sell my personal information,Yes,True,com_231,Do not sell my personal information,Yes,True,com_231,Do not sell my personal information,Yes,True,com_231,Do not sell my personal information,Yes
233,233,233,True,chegg_233,Do not sell my personal information,Yes,True,chegg_233,Do not sell my personal information,Yes,True,,,,True,chegg_233,Do not sell my personal information,Yes,True,chegg_233,Do not sell my personal information,Yes,True,chegg_233,Do not sell my personal information,Yes,True,chegg_233,Do not sell my personal information,Yes
253,253,253,True,com_253,,No,True,com_253,,No,True,com_253,,No,True,com_253,,No,True,com_253,,,True,com_253,,No,True,com_253,,No
259,259,259,True,bkstr_259,California residents: do not sell my info,Yes,True,bkstr_259,California residents: do not sell my info,Yes,False,,,,False,,,,False,,,,False,,,,True,,,
270,270,270,True,whitepages_270,Do not sell my personal information,Yes,True,,,,True,whitepages_270,Do not sell my personal information,Yes,True,whitepages_270,Do not sell my personal information,Yes,True,,,,True,whitepages_270,Do not sell my personal information,Yes,True,,,
271,271,271,True,com_271,Do not sell my personal information,Yes,True,,,,True,com_271,Do not sell my personal information,Yes,True,com_271,Do not sell my personal information,Yes,True,com_271,Do not sell my personal information,Yes,True,com_271,Do not sell my personal information,Yes,True,,,
273,273,273,True,manta_273,Do not sell my personal information,Yes,True,,,,True,manta_273,Do not sell my personal information,Yes,True,manta_273,Do not sell my personal information,Yes,True,manta_273,Do not sell my personal information,Yes,True,manta_273,Do not sell my personal information,Yes,True,,,
274,274,274,True,angi_274,Do not sell my personal information,Yes,True,angi_274,Do not sell my personal information,Yes,True,,,,True,angi_274,Do not sell my personal information,Yes,True,angi_274,Do not sell my personal information,Yes,True,angi_274,Do not sell my personal information,Yes,True,angi_274,Do not sell my personal information,Yes
283,283,283,True,manta_283,Do not sell my personal information,Yes,True,,,,True,manta_283,Do not sell my personal information,Yes,True,manta_283,Do not sell my personal information,Yes,True,manta_283,Do not sell my personal information,Yes,True,manta_283,Do not sell my personal information,Yes,True,,,
304,304,304,True,dealnews_304,Do not sell my personal information,Yes,True,,,,True,dealnews_304,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,,,
321,321,321,True,shop_321,Do not sell my personal information,Yes,True,shop_321,Do not sell my personal information,Yes,True,,,,True,shop_321,Do not sell my personal information,Yes,True,shop_321,Do not sell my personal information,Yes,True,shop_321,Do not sell my personal information,Yes,True,shop_321,Do not sell my personal information,Yes
344,344,344,True,,,,True,,,,True,ebay_344,Do not sell my personal information,Yes,True,ebay_344,Do not sell my personal information,Yes,True,,,,True,,,,True,ebay_344,Do not sell my personal information,Yes
354,354,354,True,etsy_354,Do not sell my personal information,Yes,True,,,,True,etsy_354,Do not sell my personal information,Yes,True,etsy_354,Do not sell my personal information,Yes,True,etsy_354,Do not sell my personal information,Yes,True,etsy_354,Do not sell my personal information,Yes,True,,,
370,370,370,True,llbean_370,Do not sell or share my personal information,Yes,True,,,,True,llbean_370,Do not sell or share my personal information,Yes,True,llbean_370,Do not sell or share my personal information,Yes,True,llbean_370,Do not sell or share my personal information,Yes,True,llbean_370,Do not sell or share my personal information,Yes,True,,,
373,373,373,True,neimanmarcus_373,Do not sell my personal information,Yes,True,neimanmarcus_373,Do not sell my personal information,Yes,True,neimanmarcus_373,Do not sell my personal information,Yes,True,neimanmarcus_373,Do not sell my personal information,Yes,True,,,,True,,,,True,neimanmarcus_373,Do not sell my personal information,Yes
374,374,374,True,,,,True,,,,True,,,,True,,,,True,,,,True,hsn_374,Do not sell my personal information,Yes,True,hsn_374,Do not sell my personal information,Yes
376,376,376,True,saksfifthavenue_376,Do not sell or share my personal information,Yes,True,,,,True,saksfifthavenue_376,Do not sell or share my personal information,Yes,True,saksfifthavenue_376,Do not sell or share my personal information,Yes,True,saksfifthavenue_376,Do not sell or share my personal information,Yes,True,saksfifthavenue_376,Do not sell or share my personal information,Yes,True,,,
377,377,377,True,belk_377,Do not sell or share my personal information,Yes,True,belk_377,Do not sell or share my personal information,Yes,True,belk_377,Do not sell or share my personal information,Yes,True,belk_377,Do not sell or share my personal information,Yes,True,,,,True,,,,True,belk_377,Do not sell or share my personal information,Yes
383,383,383,True,astrologyanswers_383,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,,,,True,,,,True,,,
387,387,387,True,tarot_387,Do not sell my personal information,Yes,True,,,,True,tarot_387,Do not sell my personal information,Yes,True,,,,True,tarot_387,Do not sell my personal information,Yes,True,tarot_387,Do not sell my personal information,Yes,True,,,
391,391,391,True,,,,True,,,,True,com_391,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,,,
396,396,396,True,org_396,Do not sell or share my personal information,Yes,True,org_396,Do not sell or share my personal information,Yes,True,,,,True,org_396,Do not sell or share my personal information,Yes,True,org_396,Do not sell or share my personal information,Yes,True,org_396,Do not sell or share my personal information,Yes,True,org_396,Do not sell or share my personal information,Yes
419,419,419,True,rsc_419,Do not sell my personal information,Yes,True,,,,True,rsc_419,Do not sell my personal information,Yes,True,rsc_419,Do not sell my personal information,Yes,True,rsc_419,Do not sell my personal information,Yes,True,rsc_419,Do not sell my personal information,Yes,True,,,
428,428,428,True,treehugger_428,Do not sell my personal information,Yes,True,treehugger_428,Do not sell or share my personal information,Yes,True,treehugger_428,Do not sell my personal information,Yes,True,treehugger_428,Do not sell my personal information,Yes,True,,,,True,,,,True,treehugger_428,Do not sell my personal information,Yes
433,433,433,True,com_433,Do not sell or share my personal information,Yes,True,com_433,Do not sell or share my personal information,Yes,True,com_433,Do not sell or share my personal information,Yes,True,,,,True,,,,True,,,,True,,,
456,456,456,True,allaboutcircuits_456,Do not sell or share my personal information,Yes,True,,,,True,,,,True,,,,True,,,,True,allaboutcircuits_456,,No,True,,,
461,461,461,True,rapidtables_461,Do not sell or share my personal information,Yes,True,,,,True,rapidtables_461,Do not sell my personal information,Yes,True,rapidtables_461,Do not sell my personal information,Yes,True,rapidtables_461,Do not sell or share my personal information,Yes,True,rapidtables_461,Do not sell or share my personal information,Yes,True,,,
463,463,463,True,asknumbers_463,Do not sell my personal information,Yes,True,,,,True,asknumbers_463,Do not sell my personal information,Yes,True,asknumbers_463,Do not sell my personal information,Yes,True,asknumbers_463,Do not sell my personal information,Yes,True,asknumbers_463,Do not sell my personal information,Yes,True,,,
467,467,467,True,convertunits_467,Do not sell or share my personal information,Yes,True,convertunits_467,,No,True,convertunits_467,Do not sell my personal information,Yes,True,,,,True,convertunits_467,Do not sell or share my personal information,Yes,True,convertunits_467,Do not sell or share my personal information,Yes,True,,,
469,469,469,True,0calc_469,Do not sell or share my personal information,Yes,True,,,,True,,,,True,0calc_469,Do not sell my personal information,Yes,True,0calc_469,Do not sell or share my personal information,Yes,True,0calc_469,Do not sell or share my personal information,Yes,True,,,
470,470,470,True,,,,True,,,,True,abcya_470,,No,True,abcya_470,,No,True,,,,True,,,,True,,,
472,472,472,True,metric-conversions_472,Do not sell my personal information,Yes,True,,,,True,metric-conversions_472,Do not sell my personal information,Yes,True,metric-conversions_472,,No,True,metric-conversions_472,Do not sell my personal information,Yes,True,metric-conversions_472,Do not sell my personal information,Yes,True,,,
481,481,481,True,com_481,Do not sell or share my personal information,Yes,True,com_481,Do not sell or share my personal information,Yes,True,,,,True,com_481,Do not sell or share my personal information,Yes,True,com_481,Do not sell or share my personal information,Yes,True,com_481,Do not sell or share my personal information,Yes,True,com_481,Do not sell or share my personal information,Yes
482,482,482,True,com_482,Do not sell or share my personal information,Yes,True,com_482,Do not sell or share my personal information,Yes,True,,,,True,com_482,Do not sell or share my personal information,Yes,True,com_482,Do not sell or share my personal information,Yes,True,com_482,Do not sell or share my personal information,Yes,True,com_482,Do not sell or share my personal information,Yes
483,483,483,True,com_483,Do not sell my personal information,Yes,True,,,,True,com_483,Do not sell my personal information,Yes,True,com_483,Do not sell my personal information,Yes,True,,,,True,,,,True,,,
496,496,496,True,competitor_496,Do not sell my personal information,Yes,True,,,,True,,,,True,,,,True,competitor_496,Do not sell my personal information,Yes,True,competitor_496,Do not sell my personal information,Yes,True,,,
501,501,501,True,90min_501,Do not sell my personal information,Yes,True,,,,True,90min_501,Do not sell my personal information,Yes,True,90min_501,Do not sell my personal information,Yes,True,90min_501,Do not sell my personal information,Yes,True,90min_501,Do not sell my personal information,Yes,True,,,
502,502,502,True,si_502,Do not sell my personal information,Yes,True,,,,True,si_502,Do not sell my personal information,Yes,True,si_502,Do not sell my personal information,Yes,True,si_502,Do not sell my personal information,Yes,True,si_502,Do not sell my personal information,Yes,True,,,
510,510,510,True,lumen_510,Do not sell or share my personal information,Yes,True,,,,True,lumen_510,Do not sell or share my personal information,Yes,True,lumen_510,Do not sell or share my personal information,Yes,True,lumen_510,Do not sell or share my personal information,Yes,True,lumen_510,Do not sell or share my personal information,Yes,True,,,
526,526,526,True,,,,True,,,,True,ask_526,Do not sell my personal information,Yes,True,ask_526,Do not sell my personal information,Yes,True,,,,True,,,,True,,,
551,551,551,True,tripadvisor_551,Do not sell my personal information,Yes,True,,,,True,tripadvisor_551,Do not sell my personal information,Yes,True,tripadvisor_551,Do not sell my personal information,Yes,True,tripadvisor_551,Do not sell my personal information,Yes,True,tripadvisor_551,Do not sell my personal information,Yes,True,,,
552,552,552,True,kayak_552,Do not sell or share my personal information,Yes,True,kayak_552,Do not sell or share my personal information,Yes,True,kayak_552,Do not sell or share my personal information,Yes,True,kayak_552,Do not sell or share my personal information,Yes,True,,,,True,,,,True,kayak_552,Do not sell or share my personal information,Yes
553,553,553,True,priceline_553,Do not sell my personal information,Yes,True,,,,True,priceline_553,Do not sell my personal information,Yes,True,priceline_553,Do not sell my personal information,Yes,True,priceline_553,Do not sell my personal information,Yes,True,priceline_553,Do not sell my personal information,Yes,True,,,
557,557,557,True,cheapoair_557,Do not sell my personal information,Yes,True,,,,True,cheapoair_557,Do not sell my personal information,Yes,True,cheapoair_557,Do not sell my personal information,Yes,True,cheapoair_557,Do not sell my personal information,Yes,True,cheapoair_557,Do not sell my personal information,Yes,True,,,
559,559,559,True,travelzoo_559,Do not sell or share my personal information,Yes,True,,,,True,travelzoo_559,Do not sell or share my personal information,Yes,True,travelzoo_559,Do not sell or share my personal information,Yes,True,travelzoo_559,Do not sell or share my personal information,Yes,True,travelzoo_559,Do not sell or share my personal information,Yes,True,,,
