,Index,Check,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text
289,289,True,boattrader_289,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
290,290,True,,,,,,,
291,291,True,,,,,,,
292,292,True,,,,,,,
293,293,True,com_293,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
294,294,True,groupon_294,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information
295,295,True,net_295,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
296,296,True,retailmenot_296,1,Yes,Do Not Sell My Personal infomation| 1/1,Yes,Yes,Do not sell my personal information
297,297,True,,,,,,,
298,298,True,,,,,,,
299,299,True,rakuten_299,1,Yes,Information / Personal Data Opt-out] 1/1,Yes,Yes,
300,300,True,zulily_300,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
301,301,True,com_301,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information
302,302,True,us_302,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
303,303,True,offers_303,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
304,304,True,,,,,,,
305,305,True,,,,,,,
306,306,True,,,,,,,
307,307,True,,,,,,,
308,308,True,,,,,,,
309,309,True,,,,,,,
310,310,True,livingsocial_310,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information
311,311,True,net_311,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
312,312,True,bizrate_312,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
313,313,True,,,,,,,
314,314,True,,,,,,,
315,315,True,,,,,,,
316,316,True,rakuten_316,1,Yes,Information / Personal Data Opt-out] 1/1,Yes,Yes,Do not sell or share my personal information
317,317,True,,,,,,,
318,318,True,,,,,,,
319,319,True,mysimon_319,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
320,320,True,,,,,,,
321,321,True,,,,,,,
322,322,True,,,,,,,
323,323,True,,,,,,,
324,324,True,,,,,,,
325,325,True,com_325,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
326,326,True,,,,,,,
327,327,True,,,,,,,
328,328,True,,,,,,,
329,329,True,,,,,,,
330,330,True,,,,,,,
331,331,True,,,,,,,
332,332,True,,,,,,,
333,333,True,,,,,,,
334,334,True,dollardays_334,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information
335,335,True,,,,,,,
336,336,True,,,,,,,
337,337,False,,,,,,,
338,338,True,,,,,,,
339,339,True,,,,,,,
340,340,True,,,,,,,
341,341,True,,,,,,,
342,342,True,,,,,,,
343,343,True,,,,,,,
344,344,True,,,,,,,
345,345,True,,,,,,,
346,346,True,,,,,,,
347,347,True,netflix_347,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
348,348,True,,,,,,,
349,349,True,,,,,,,
350,350,True,,,,,,,
351,351,True,bestbuy_351,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
352,352,True,,,,,,,
353,353,True,homedepot_353,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
354,354,True,,,,,,,
355,355,True,,,,,,,
356,356,True,groupon_356,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information
357,357,True,macys_357,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
358,358,True,net_358,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
359,359,True,lowes_359,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
360,360,True,,,,,,,
361,361,True,,,,,,,
362,362,True,,,,,,,
363,363,True,,,,,,,
364,364,True,kohls_364,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
365,365,True,jcpenney_365,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
366,366,True,,,,,,,
367,367,True,,,,,,,
368,368,True,cabelas_368,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
369,369,True,,,,,,,
370,370,True,,,,,,,
371,371,True,,,,,,,
372,372,True,bloomingdales_372,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
373,373,True,neimanmarcus_373,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
374,374,True,hsn_374,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
375,375,True,biglots_375,1,Yes,Customers Only: Do Not Sell My Info| 1/1,Yes,Yes,California residents: do not sell my info
376,376,True,,,,,,,
377,377,True,belk_377,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
378,378,True,burlington_378,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
379,379,True,,,,,,,
380,380,True,horoscope_380,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
381,381,True,space_381,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
382,382,True,astrology_382,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information
383,383,True,,,,,,,
384,384,True,,,,,,,
385,385,True,,,,,,,
386,386,True,,,,,,,
387,387,True,tarot_387,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
388,388,True,,,,,,,
389,389,True,,,,,,,
390,390,True,,,,,,,
391,391,True,,,,,,,
392,392,True,,,,,,,
393,393,True,,,,,,,
394,394,True,,,,,,,
395,395,True,sunsigns_395,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
396,396,True,org_396,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information
397,397,True,,,,,,,
398,398,True,,,,,,,
399,399,True,,,,,,,
400,400,True,,,,,,,
401,401,True,,,,,,,
402,402,True,biomedcentral_402,1,Yes,Manage cookies/Do not sell my data|_ 1/1,Yes,Yes,Do not sell my personal information
403,403,True,innerbody_403,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
404,404,True,,,,,,,
405,405,True,,,,,,,
406,406,True,,,,,,,
407,407,True,,,,,,,
408,408,True,,,,,,,
409,409,True,,,,,,,
410,410,True,,,,,,,
411,411,True,,,,,,,
412,412,True,,,,,,,
413,413,True,,,,,,,
414,414,True,,,,,,,
415,415,True,,,,,,,
416,416,True,,,,,,,
417,417,True,,,,,,,
418,418,True,,,,,,,
419,419,True,,,,,,,
420,420,True,webqc_420,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
421,421,True,webqc_421,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
422,422,True,,,,,,,
423,423,True,,,,,,,
424,424,True,,,,,,,
425,425,True,livescience_425,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
426,426,True,,,,,,,
427,427,True,,,,,,,
428,428,True,treehugger_428,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
429,429,True,,,,,,,
430,430,True,,,,,,,
431,431,True,,,,,,,
432,432,True,,,,,,,
433,433,True,com_433,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
434,434,True,,,,,,,
435,435,True,,,,,,,
436,436,True,,,,,,,
437,437,True,,,,,,,
438,438,True,,,,,,,
439,439,True,,,,,,,
440,440,True,,,,,,,
441,441,True,,,,,,,
442,442,True,,,,,,,
443,443,True,,,,,,,
444,444,True,,,,,,,
445,445,True,autodesk_445,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information
446,446,True,space_446,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
447,447,True,,,,,,,
448,448,True,,,,,,,
449,449,True,,,,,,,
450,450,True,,,,,,,
451,451,True,,,,,,,
452,452,True,,,,,,,
453,453,True,,,,,,,
454,454,True,d2l_454,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information
455,455,True,,,,,,,
456,456,True,,,,,,,
457,457,True,,,,,,,
458,458,True,,,,,,,
459,459,True,,,,,,,
460,460,True,,,,,,,
461,461,True,,,,,,,
462,462,True,,,,,,,
463,463,True,,,,,,,
464,464,True,,,,,,,
465,465,True,,,,,,,
466,466,True,,,,,,,
467,467,True,,,,,,,
468,468,True,,,,,,,
469,469,True,,,,,,,
470,470,True,,,,,,,
471,471,True,,,,,,,
472,472,True,,,,,,,
473,473,True,,,,,,,
474,474,True,,,,,,,
475,475,True,,,,,,,
476,476,True,,,,,,,
477,477,True,,,,,,,
478,478,True,,,,,,,
479,479,True,,,,,,,
480,480,True,,,,,,,
481,481,True,com_481,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information
482,482,True,com_482,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information
483,483,True,,,,,,,
484,484,True,,,,,,,
485,485,True,,,,,,,
486,486,True,,,,,,,
487,487,True,nbcsports_487,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
488,488,True,,,,,,,
489,489,True,,,,,,,
490,490,True,nflshop_490,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
491,491,True,,,,,,,
492,492,True,,,,,,,
493,493,True,active_493,13,Yes,Do Not Sell My Personal information| 1/3,Yes,Yes,Do not sell my personal information
494,494,True,,,,,,,
495,495,True,,,,,,,
496,496,True,,,,,,,
497,497,True,,,,,,,
498,498,True,mapmyrun_498,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
499,499,True,espn_499,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information
500,500,True,,,,,,,
501,501,True,,,,,,,
502,502,True,,,,,,,
503,503,True,,,,,,,
504,504,True,,,,,,,
505,505,True,cbssports_505,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information
506,506,True,,,,,,,
507,507,True,sbnation_507,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information
508,508,True,,,,,,,
509,509,True,,,,,,,
510,510,True,,,,,,,
511,511,True,,,,,,,
512,512,True,,,,,,,
513,513,True,,,,,,,
514,514,True,,,,,,,
515,515,True,,,,,,,
516,516,True,,,,,,,
517,517,True,,,,,,,
518,518,True,,,,,,,
519,519,True,,,,,,,
520,520,True,,,,,,,
521,521,True,,,,,,,
522,522,False,,,,,,,
523,523,True,,,,,,,
524,524,True,,,,,,,
525,525,True,,,,,,,
526,526,True,,,,,,,
527,527,True,,,,,,,
528,528,True,,,,,,,
529,529,True,,,,,,,
530,530,True,,,,,,,
531,531,True,,,,,,,
532,532,True,,,,,,,
533,533,True,,,,,,,
534,534,True,,,,,,,
535,535,True,,,,,,,
536,536,True,,,,,,,
537,537,True,southwest_537,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
538,538,True,,,,,,,
539,539,True,,,,,,,
540,540,True,,,,,,,
541,541,True,,,,,,,
542,542,True,jetblue_542,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information
543,543,True,,,,,,,
544,544,True,,,,,,,
545,545,True,,,,,,,
546,546,True,,,,,,,
547,547,True,,,,,,,
548,548,True,,,,,,,
549,549,True,,,,,,,
550,550,True,lufthansa_550,1,Yes,CCPA / Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information
551,551,True,,,,,,,
552,552,True,kayak_552,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information
553,553,True,,,,,,,
554,554,True,lonelyplanet_554,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
555,555,True,skyscanner_555,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
556,556,True,hotwire_556,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
557,557,True,cheapoair_557,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
558,558,True,,,,,,,
559,559,True,travelzoo_559,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information
560,560,True,,,,,,,
561,561,True,,,,,,,
562,562,True,,,,,,,
563,563,True,,,,,,,
564,564,True,airfarewatchdog_564,,Check,,Yes,No,
565,565,True,,,,,,,
566,566,True,onetravel_566,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
567,567,True,,,,,,,
568,568,True,,,,,,,
569,569,True,,,,,,,
570,570,True,,,,,,,
571,571,True,hilton_571,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information
572,572,True,ihg_572,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information
573,573,True,,,,,,,
