,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
31,31,31,31,31,mcdonalds_39,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,39
32,32,32,32,32,bmwusa_816,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,816
33,33,33,33,33,thedodo_218,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,218
34,34,34,34,34,com_864,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,864
35,35,35,35,35,healthgrades_62,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,62
36,36,36,36,36,last_982,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,982
37,37,37,37,37,autodesk_445,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,445
38,38,38,38,38,dsw_759,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,759
39,39,39,39,39,cbssports_505,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,505
40,40,40,40,40,southwest_537,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,537
41,41,41,41,41,dice_904,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,904
42,42,42,42,42,footlocker_689,1,Yes,ell or Share my Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,689
43,43,43,43,43,vividseats_994,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,994
44,44,44,44,44,marthastewart_13,1,Yes,"Californ ""1",Yes,Yes,California residents: do not sell my info,13
45,45,45,45,45,hobbylobby_130,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,130
46,46,46,46,46,addresses_280,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,280
47,47,47,47,47,dailywire_142,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,142
48,48,48,48,48,cdw_613,1,Yes,sonal Information - Currently Sharing] 1/1,Yes,Yes,Do not sell or share my personal information,613
49,49,49,49,49,kobo_252,1,Yes,Information (Personal Data Opt-out)| 1/1,Yes,Yes,Do not sell or share my personal information,252
50,50,50,50,50,whirlpool_602,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,602
51,51,51,51,51,macys_357,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,357
52,52,52,52,52,glasses_775,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,775
53,53,53,53,53,curbed_126,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,126
54,54,54,54,54,treehugger_116,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,116
55,55,55,55,55,victoriassecret_721,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,721
56,56,56,56,56,retailmenot_296,1,Yes,Do Not Sell My Personal infomation| 1/1,Yes,Yes,Do not sell my personal information,296
57,57,57,57,57,groupon_294,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,294
58,58,58,58,58,houzz_119,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,119
59,59,59,59,59,com_621,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,621
60,60,60,60,60,astrology_382,1,Yes,"DO NOTSELL MY INFO| ""1",Yes,Yes,Do not sell my personal information,382
61,61,61,61,61,colehaan_766,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,766
62,62,62,62,62,active_493,13,Yes,Do Not Sell My Personal information| 1/3,Yes,Yes,Do not sell my personal information,493
63,63,63,63,63,com_166,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,166
64,64,64,64,64,com_482,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,482
65,65,65,65,65,avast_631,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,631
66,66,66,66,66,com_217,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,217
67,67,67,67,67,ray-ban_768,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,768
68,68,68,68,68,com_1027,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1027
69,69,69,69,69,bizrate_312,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,312
70,70,70,70,70,zulily_300,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,300
71,71,71,71,71,politico_160,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,160
72,72,72,72,72,boatshop24_833,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,833
73,73,73,73,73,abt_603,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,603
74,74,74,74,74,urbanoutfitters_694,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,694
75,75,75,75,75,sunglasshut_769,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,769
76,76,76,76,76,redbubble_97,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,97
77,77,77,77,77,truecar_798,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,798
78,78,78,78,78,groupon_356,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,356
79,79,79,79,79,anthropologie_114,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,114
80,80,80,80,80,haggar_755,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,755
81,81,81,81,81,webqc_421,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,421
82,82,82,82,82,lowes_359,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,359
83,83,83,83,83,cinemark_991,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,991
84,84,84,84,84,com_253,,Check,"ot sell]

o/o",Yes,No,,253
85,85,85,85,85,oracle_656,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,656
86,86,86,86,86,net_358,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,358
87,87,87,87,87,boattrader_834,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,834
88,88,88,88,88,trycaviar_24,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,24
89,89,89,89,89,livecareer_934,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,934
90,90,90,90,90,airfarewatchdog_564,,Check,,Yes,No,,564
91,91,91,91,91,kohls_364,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,364
92,92,92,92,92,ipsy_855,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,855
93,93,93,93,93,racked_876,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,876
94,94,94,94,94,fossil_709,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,709
95,95,95,95,95,nydailynews_180,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,180
96,96,96,96,96,chegg_233,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,233
97,97,97,97,97,ihg_572,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,572
98,98,98,98,98,dailykos_164,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,164
99,99,99,99,99,boattrader_289,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,289
100,100,100,100,100,microcenter_622,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,622
101,101,101,101,101,vw_824,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,824
102,102,102,102,102,jetblue_542,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,542
103,103,103,103,103,com_632,1,Yes,3ell My Personal Information request] 1/1,Yes,Yes,Do not sell my personal information,632
104,104,104,104,104,norton_629,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information,629
105,105,105,105,105,tomsguide_673,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,673
106,106,106,106,106,racked_845,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,845
107,107,107,107,107,healthline_53,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,53
108,108,108,108,108,com_93,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,93
109,109,109,109,109,seriouseats_5,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,5
110,110,110,110,110,snagajob_924,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,924
111,111,111,111,111,lufthansa_550,1,Yes,CCPA / Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,550
112,112,112,112,112,economist_1029,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1029
113,113,113,113,113,scholastic_235,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,235
114,114,114,114,114,espn_499,2-Apr,Check,ell or Share My Personal information| 1/2,Yes,Yes,Do not sell or share my personal information,499
115,115,115,115,115,webqc_420,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,420
116,116,116,116,116,travelzoo_559,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,559
117,117,117,117,117,digitaltrends_670,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,670
118,118,118,118,118,gardenweb_117,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,117
119,119,119,119,119,com_325,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,325
120,120,120,120,120,hm_687,1,Yes,Â© Not Sell Or Share My Personal Data| 1/1,Yes,Yes,Do not sell or share my personal information,687
121,121,121,121,121,bloomingdales_372,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,372
122,122,122,122,122,berries_31,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,31
123,123,123,123,123,sbnation_507,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,507
124,124,124,124,124,petfinder_205,1,Yes,sHARE MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell or share my personal information,205
125,125,125,125,125,com_148,1,Yes,CA: Do Not Sell My Info| Wi,Yes,Yes,California residents: do not sell my info,148
126,126,126,126,126,thrillist_8,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,8
127,127,127,127,127,lg_594,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,594
128,128,128,128,128,panasonic_596,1,Yes,Do Not Sell My Datal Wi,Yes,Yes,Do not sell my personal information,596
129,129,129,129,129,cnet_664,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,664
130,130,130,130,130,allrecipes_1089,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1089
131,131,131,131,131,com_301,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,301
132,132,132,132,132,samsung_597,1,Yes,ell or Share My Personal information| 1/1,Yes,Yes,Do not sell or share my personal information,597
133,133,133,133,133,glassesusa_720,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,720
134,134,134,134,134,jdpower_800,1,Yes,Do Not Sell or Share My Information| 1/1,Yes,Yes,Do not sell or share my personal information,800
135,135,135,135,135,geappliances_599,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,599
136,136,136,136,136,southernliving_591,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,591
137,137,137,137,137,cnbc_1022,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1022
138,138,138,138,138,twitch_961,,Check,"ot sell]

o/o",Yes,No,,961
139,139,139,139,139,nflshop_490,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,490
140,140,140,140,140,toptenreviews_677,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,677
141,141,141,141,141,eset_635,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,635
142,142,142,142,142,salliemae_1086,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,1086
143,143,143,143,143,jimmyjohns_43,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,43
144,144,144,144,144,pandora_703,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,703
145,145,145,145,145,lifeandstylemag_872,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,872
146,146,146,146,146,eater_7,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,7
147,147,147,147,147,cargurus_792,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,792
148,148,148,148,148,yachtworld_836,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,836
149,149,149,149,149,biomedcentral_402,1,Yes,Manage cookies/Do not sell my data|_ 1/1,Yes,Yes,Do not sell my personal information,402
150,150,150,150,150,net_311,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,311
151,151,151,151,151,careerbuilder_925,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,925
152,152,152,152,152,everydayhealth_87,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,87
153,153,153,153,153,hotwire_556,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,556
154,154,154,154,154,com_1026,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1026
155,155,155,155,155,weightwatchers_54,1,Yes,Do Not Sell My Personal Info| Wi,Yes,Yes,Do not sell my personal information,54
156,156,156,156,156,officedepot_135,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,135
157,157,157,157,157,ulta_838,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,838
158,158,158,158,158,jcpenney_365,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,365
159,159,159,159,159,1stdibs_98,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,98
160,160,160,160,160,consumerreports_675,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,675
161,161,161,161,161,livenation_993,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,993
162,162,162,162,162,homedepot_353,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,353
163,163,163,163,163,kickstarter_186,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,186
164,164,164,164,164,staples_136,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,136
165,165,165,165,165,kayak_552,1,Yes,Do Not Sell or Share My Info| Wi,Yes,Yes,Do not sell or share my personal information,552
166,166,166,166,166,vox_680,1,Yes,o Not Sell or Share My Personal nfo| 1/1,Yes,Yes,Do not sell or share my personal information,680
167,167,167,167,167,com_433,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,433
168,168,168,168,168,hilton_571,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,571
169,169,169,169,169,netflix_959,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,959
170,170,170,170,170,com_960,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,960
171,171,171,171,171,doordash_22,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,22
172,172,172,172,172,com_255,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,255
173,173,173,173,173,governmentjobs_933,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,933
174,174,174,174,174,d2l_454,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information,454
175,175,175,175,175,timeout_580,1,Yes,Do not sell my information| Wi,Yes,Yes,Do not sell my personal information,580
176,176,176,176,176,barnesandnoble_225,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,225
177,177,177,177,177,org_1077,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,1077
178,178,178,178,178,agoda_574,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,574
179,179,179,179,179,citi_1046,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,1046
180,180,180,180,180,zulily_702,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,702
181,181,181,181,181,subaru_823,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,823
182,182,182,182,182,codecademy_944,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,944
183,183,183,183,183,statefarm_1063,2-Feb,Check,onal Information (CA residents only)|_ 2/2,Yes,Yes,Do not sell or share my personal information(CA residents only),1063
184,184,184,184,184,cengage_261,1,Yes,DO NOTSELL Wi,Yes,Yes,Do not sell my personal information,261
185,185,185,185,185,ae_700,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,700
186,186,186,186,186,audiusa_820,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,820
187,187,187,187,187,cars_795,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,795
188,188,188,188,188,backyardchickens_214,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,214
189,189,189,189,189,avg_628,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,628
190,190,190,190,190,oreilly_258,1,Yes,TSELL MY PERSONAL INFORMATION| 1/1,Yes,Yes,Do not sell my personal information,258
191,191,191,191,191,org_176,1,Yes,ellor share my personalinformation| 1/1,Yes,Yes,Do not sell or share my personal information,176
192,192,192,192,192,blackboard_880,1,Yes,Do Not Sell My Pl Wi,Yes,Yes,Do not sell my personal information,880
193,193,193,193,193,3wishes_733,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,733
194,194,194,194,194,angi_274,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,274
195,195,195,195,195,thrillist_579,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,579
196,196,196,196,196,rxlist_78,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,78
197,197,197,197,197,horoscope_380,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,380
198,198,198,198,198,bestbuy_593,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,593
199,199,199,199,199,choicehotels_576,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,576
200,200,200,200,200,bkstr_259,1,Yes,"Do Not Sell My Info - CA only,

""1",Yes,Yes,California residents: do not sell my info,259
201,201,201,201,201,craftsy_132,1,Yes,Do Not Sell My Info| Wi,Yes,Yes,Do not sell my personal information,132
202,202,202,202,202,com_293,1,Yes,Do Not Sell My information| Wi,Yes,Yes,Do not sell my personal information,293
203,203,203,203,203,kbb_790,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,790
204,204,204,204,204,dailymail_178,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,178
205,205,205,205,205,adobe_647,1,Yes,iell or share my personal information| 1/1,Yes,Yes,Do not sell or share my personal information,647
206,206,206,206,206,imore_671,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,671
207,207,207,207,207,myrecipes_9,1,Yes,"Californ ""1",Yes,Yes,California residents: do not sell my info,9
208,208,208,208,208,com_737,1,Yes,Do not sell my personal information| 1/1,Yes,Yes,Do not sell my personal information,737
209,209,209,209,209,homeadvisor_275,1,Yes,Do Not Sell] Wi,Yes,Yes,Do not sell my personal information,275
210,210,210,210,210,yandy_722,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,722
211,211,211,211,211,travelandleisure_582,1,Yes,"DoN ""1",Yes,Yes,Do not sell my personal information,582
212,212,212,212,212,skyscanner_555,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,555
213,213,213,213,213,bestbuy_351,1,Yes,tSell/Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,351
214,214,214,214,214,tarot_387,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,387
215,215,215,215,215,theblaze_150,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,150
216,216,216,216,216,cabelas_368,1,Yes,ell Or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,368
217,217,217,217,217,progressive_1066,1,Yes,onal Information (CA Residents Only)| 1/1,Yes,Yes,Do not sell or share my personal information(CA residents only),1066
218,218,218,218,218,maccosmetics_844,1,Yes,NALINFORMATION / TARGETED ADS| 1/1,Yes,Yes,Do not sell or share my personal information,844
219,219,219,219,219,avira_636,1,Yes,to Not Sell or Share My Personal Data|_ 1/1,Yes,Yes,Do not sell or share my personal information,636
220,220,220,220,220,olivegarden_41,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,41
221,221,221,221,221,nissanusa_812,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,812
222,222,222,222,222,shape_88,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,88
223,223,223,223,223,ralphlauren_704,1,Yes,Do Not Sell My Personal Information| 1/1,Yes,Yes,Do not sell my personal information,704
224,224,224,224,224,belk_377,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,377
225,225,225,225,225,tacobell_44,1,Yes,ell or Share My Personal Information| 1/1,Yes,Yes,Do not sell or share my personal information,44
226,226,226,226,226,vistaprint_137,1,Yes,Do not sell my info Wi,Yes,Yes,Do not sell my personal information,137
